Block,Time,L_NR_2021_13,L_NR_2020_05,L_NR_2022_10,L_NR_2021_15,L_NR_2022_08,L_NR_2019_06,L_NR_2021_14,L_NR_2020_07,L_NR_2019_05,L_NR_2021_17,L_NR_2021_12,L_NR_2019_07,L_NR_2022_09,L_NR_2020_06,L_NR_2021_16,L_NR_2023_04,L_NR_2019_11,LT-36,LT-05,SH-07,L_NR_2012_07,L_NR_2012_04,LT_MEJA_Delhi,L_NR_2020_02,SH-06,LT-59,L_NR_2012_01,L_NR_2012_02,LT-35,LT-31,L_NR_2019_19,L_NR_2018_61
1,00:00-00:15,0,47.69,33.55,0,16.32,0,0,15.9,0,0,0,0,33.55,15.9,0,0.000000,6.310000,0.000000,115.730000,26.110000,87.240000,272.020000,3.230000,6.230000,26.110000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,36.41

2,00:15-00:30,0,48.06,34.94,0,11.75,0,0,16.03,0,0,0,0,34.94,16.02,0,0.000000,6.310000,0.000000,115.730000,26.110000,87.240000,272.020000,3.230000,6.230000,26.110000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,35.74

3,00:30-00:45,0,45.85,33.54,0,10.94,0,0,15.28,0,0,0,0,33.54,15.28,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.230000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,39.07

4,00:45-01:00,0,46.52,34.12,0,10.96,0,0,15.5,0,0,0,0,34.12,15.51,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.230000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,38.4

5,01:00-01:15,0,48.83,34.38,0,11.56,0,0,16.27,0,0,0,0,34.38,16.28,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.140000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,36.77

6,01:15-01:30,0,49.29,34.86,0,12.22,0,0,16.44,0,0,0,0,34.86,16.43,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.140000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,35.85

7,01:30-01:45,0,49.59,37.45,0,13.65,0,0,16.53,0,0,0,0,37.45,16.53,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.140000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,35.1

8,01:45-02:00,0,61.49,42.23,0,15.37,0,0,20.48,0,0,0,0,42.23,20.5,0,0.000000,6.310000,0.000000,115.730000,8.310000,87.240000,272.020000,3.230000,6.140000,8.310000,5.830000,101.310000,261.720000,0.000000,0.000000,0.000000,34.46

9,02:00-02:15,0,47.84,35.83,0,13.53,0,0,15.94,0,0,0,0,35.83,15.95,0,0.000000,6.000000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,6.040000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,37.16

10,02:15-02:30,0,48.28,35.74,0,13.27,0,0,16.1,0,0,0,0,35.74,16.09,0,0.000000,6.000000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,6.040000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,36.67

11,02:30-02:45,0,48.97,38.91,0,13.54,0,0,16.33,0,0,0,0,38.91,16.32,0,0.000000,6.000000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,6.040000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,35.62

12,02:45-03:00,0,48.53,39.42,0,13.75,0,0,16.18,0,0,0,0,39.42,16.18,0,0.000000,6.000000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,6.040000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,35.12

13,03:00-03:15,0,46.9,39.1,0,14.72,0,0,15.63,0,0,0,0,39.1,15.64,0,0.000000,5.770000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,5.910000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,32.94

14,03:15-03:30,0,69.13,40.24,0,23.67,0,0,23.05,0,0,0,0,40.24,23.04,0,0.000000,5.770000,0.000000,115.730000,19.190000,87.240000,272.020000,3.230000,5.910000,19.190000,5.680000,101.310000,261.720000,0.000000,0.000000,0.000000,40.79

15,03:30-03:45,0,70.32,48.37,0,24,0,0,23.45,0,0,0,0,48.37,23.44,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.910000,19.190000,5.450000,101.310000,261.720000,0.000000,0.000000,0.000000,40.13

16,03:45-04:00,0,73.03,51.74,0,24.46,0,0,24.34,0,0,0,0,51.74,24.34,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.910000,19.190000,5.450000,101.310000,261.720000,0.000000,0.000000,0.000000,40.07

17,04:00-04:15,0,76.42,54.31,0,25.82,0,0,25.48,0,0,0,0,54.31,25.47,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.810000,19.190000,5.450000,101.310000,203.690000,0.000000,0.000000,0.000000,39.58

18,04:15-04:30,0,79.61,55.18,0,26.71,0,0,26.53,0,0,0,0,55.18,26.54,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.810000,19.190000,5.450000,101.310000,201.540000,0.000000,0.000000,0.000000,39.29

19,04:30-04:45,0,83.02,56.13,0,26.35,0,0,27.68,0,0,0,0,56.13,27.67,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.810000,19.190000,5.450000,101.310000,201.540000,0.000000,0.000000,0.000000,38.87

20,04:45-05:00,0,85.79,58.35,0,25.83,0,0,28.59,0,0,0,0,58.35,28.6,0,0.000000,5.770000,0.000000,115.730000,19.190000,63.430000,272.020000,1.350000,5.810000,19.190000,5.450000,101.310000,201.540000,0.000000,0.000000,0.000000,42.19

21,05:00-05:15,0,84.69,55.39,0,25.62,0,0,28.24,0,0,0,0,55.39,28.23,0,0.000000,5.540000,0.000000,115.730000,20.830000,63.430000,272.020000,1.350000,5.810000,20.830000,5.450000,101.310000,201.540000,0.000000,0.000000,0.000000,41.67

22,05:15-05:30,0,84.86,55.51,0,25.16,0,0,28.29,0,0,0,0,55.51,28.29,0,0.000000,5.540000,0.000000,115.730000,20.830000,63.430000,272.020000,1.350000,5.810000,20.830000,5.450000,101.310000,201.540000,0.000000,0.000000,0.000000,40.97

