Column1,Time,GNA/NR/2024/12/01/1766,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/1899,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/2197,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/7739,NR/30092023/26122029/SH-06,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,50,50,8.33

2,00:15-00:30,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,49.67,49.66,8.33

3,00:30-00:45,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,49.67,49.66,6.66

4,00:45-01:00,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,49.33,49.34,6.66

5,01:00-01:15,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,47.33,47.34,6.66

6,01:15-01:30,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,7.17,0,21.49,0,7.17,46.67,46.66,6.66

7,01:30-01:45,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,9.17,0,27.49,0,9.17,46.67,46.66,6.66

8,01:45-02:00,25.97,0,0.69,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.3,31.71,0,0,0,7,0,0,9.17,0,27.49,0,9.17,45.67,45.66,6.66

9,02:00-02:15,25.97,0,0.77,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,9.17,0,27.49,0,9.17,33.33,33.34,6.66

10,02:15-02:30,25.97,0,0.77,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,9.17,0,27.49,0,9.17,32.67,32.66,6.66

11,02:30-02:45,25.97,0,0.77,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.67,0,49.99,0,16.67,31.67,31.66,6.66

12,02:45-03:00,25.97,0,0.77,0,0,0,0,0,0,1.92,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.67,0,49.99,0,16.67,30,30,6.66

13,03:00-03:15,25.97,0,0.77,0,0,0,0,0,0,1.84,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.5,0,49.5,0,16.5,27.33,27.34,12

14,03:15-03:30,25.97,0,0.77,0,0,0,0,0,0,1.84,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.33,0,49.01,0,16.33,25.67,25.66,11.67

15,03:30-03:45,25.97,0,0.77,0,0,0,0,0,0,1.84,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.33,0,49.01,0,16.33,25.33,25.34,11.67

16,03:45-04:00,25.97,0,0.77,0,0,0,0,0,0,1.84,0,0,150,25.97,74.78,0,122.14,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,16.17,0,48.49,0,16.17,25,25,12

17,04:00-04:15,25.97,0,0.77,0,0,0,0,0,0,1.84,0,0,150,25.97,74.78,0,184.3,0,0,57.41,8.66,0,35.06,8.66,95.13,0,25.97,1.62,1.22,31.71,0,0,0,7,0,0,13.33,0,40.01,0,13.33,28.33,28.34,8

