Block,Time,L_NR_2020_05,L_NR_2022_09,L_NR_2019_19,L_NR_2019_07,L_NR_2021_12,L_NR_2020_06,L_NR_2019_06,L_NR_2020_07,L_NR_2020_02,LT-59,LT-35,L_NR_2021_13,L_NR_2019_11,L_NR_2019_05,L_NR_2022_08,L_NR_2021_14,L_NR_2018_61,LT_MEJA_Delhi,L_NR_2012_07,LT-31,LT-36,L_NR_2021_16,L_NR_2021_15,L_NR_2022_10,L_NR_2021_17,LT-05,SH-06,L_NR_2012_01,L_NR_2023_04,SH-07,L_NR_2012_02,L_NR_2012_04
1,00:00-00:15,113.25,78.83,0,0,0,37.75,0,37.75,11.170000,9.180000,0.000000,0,7.690000,0,36.49,0,26.38,3.840000,87.290000,0.000000,0.000000,0,0,78.83,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

2,00:15-00:30,113.22,78.83,0,0,0,37.74,0,37.75,11.170000,9.180000,0.000000,0,7.690000,0,36.56,0,26.66,3.840000,87.290000,0.000000,0.000000,0,0,78.83,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

3,00:30-00:45,113.22,78.83,0,0,0,37.74,0,37.75,11.170000,9.180000,0.000000,0,7.690000,0,36.64,0,26.88,3.840000,87.290000,0.000000,0.000000,0,0,78.83,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

4,00:45-01:00,113.22,78.83,0,0,0,37.74,0,37.74,11.170000,9.180000,0.000000,0,7.690000,0,36.64,0,27.13,3.840000,87.290000,0.000000,0.000000,0,0,78.83,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

5,01:00-01:15,113.22,78.82,0,0,0,37.74,0,37.74,10.980000,9.180000,0.000000,0,7.540000,0,36.67,0,27.28,3.840000,87.290000,0.000000,0.000000,0,0,78.82,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

6,01:15-01:30,113.22,78.8,0,0,0,37.74,0,37.74,10.980000,9.180000,0.000000,0,7.540000,0,29.71,0,27.63,3.840000,87.290000,0.000000,0.000000,0,0,78.8,0,116.160000,28.800000,0.000000,0.000000,28.800000,261.860000,222.570000

7,01:30-01:45,113.21,78.8,0,0,0,37.74,0,37.74,10.980000,9.180000,0.000000,0,7.540000,0,29.74,0,27.29,3.840000,87.290000,0.000000,0.000000,0,0,78.8,0,116.160000,29.510000,0.000000,0.000000,29.510000,261.860000,222.570000

8,01:45-02:00,113.21,78.79,0,0,0,37.74,0,37.73,10.980000,9.180000,0.000000,0,7.540000,0,29.75,0,27.01,3.840000,87.290000,0.000000,0.000000,0,0,78.79,0,116.160000,30.670000,0.000000,0.000000,30.670000,261.860000,222.570000

9,02:00-02:15,113.21,78.79,0,0,0,37.74,0,37.73,10.790000,8.180000,0.000000,0,7.390000,0,29.78,0,26.58,3.840000,87.290000,0.000000,0.000000,0,0,78.79,0,116.160000,3.870000,0.000000,0.000000,30.970000,261.860000,222.570000

10,02:15-02:30,113.21,78.78,0,0,0,37.74,0,37.73,10.790000,8.180000,0.000000,0,7.390000,0,30.02,0,26.24,3.840000,87.290000,0.000000,0.000000,0,0,78.78,0,116.160000,3.870000,0.000000,0.000000,30.970000,261.860000,222.570000

11,02:30-02:45,113.19,78.78,0,0,0,37.73,0,37.74,10.790000,8.180000,0.000000,0,7.390000,0,30.14,0,25.44,3.840000,87.290000,0.000000,0.000000,0,0,78.78,0,116.160000,3.870000,0.000000,0.000000,30.970000,261.860000,222.570000

12,02:45-03:00,113.19,78.77,0,0,0,37.73,0,37.74,10.790000,8.180000,0.000000,0,7.390000,0,30.25,0,24.44,3.840000,87.290000,0.000000,0.000000,0,0,78.77,0,116.160000,19.590000,0.000000,0.000000,30.970000,261.860000,222.570000

13,03:00-03:15,113.18,78.77,0,0,0,37.73,0,37.71,10.520000,8.180000,0.000000,0,7.390000,0,30.25,0,23.61,3.840000,87.290000,0.000000,0.000000,0,0,78.77,0,116.160000,19.590000,0.000000,0.000000,30.970000,261.860000,222.570000

14,03:15-03:30,113.17,78.77,0,0,0,37.72,0,37.73,10.520000,8.180000,0.000000,0,7.390000,0,30.27,0,22.72,3.840000,87.290000,0.000000,0.000000,0,0,78.77,0,116.160000,19.590000,0.000000,0.000000,30.970000,261.860000,222.570000

15,03:30-03:45,113.17,78.77,0,0,0,37.72,0,37.72,10.520000,8.180000,0.000000,0,7.390000,0,30.3,0,21.27,3.840000,87.290000,0.000000,0.000000,0,0,78.77,0,116.160000,19.590000,0.000000,0.000000,30.970000,261.860000,222.570000

16,03:45-04:00,113.17,78.76,0,0,0,37.72,0,37.72,10.520000,8.180000,0.000000,0,7.390000,0,30.33,0,19.89,3.840000,87.290000,0.000000,0.000000,0,0,78.76,0,116.160000,19.590000,0.000000,0.000000,30.970000,261.860000,222.570000

17,04:00-04:15,113.15,78.75,0,0,0,37.72,0,37.72,10.330000,7.790000,0.000000,0,7.160000,0,30.63,0,18.56,3.840000,87.290000,0.000000,0.000000,0,0,78.75,0,116.160000,20.930000,0.000000,0.000000,30.970000,261.860000,222.570000

18,04:15-04:30,113.15,78.75,0,0,0,37.72,0,37.72,10.330000,7.790000,0.000000,0,7.160000,0,30.65,0,17.29,3.840000,87.290000,0.000000,0.000000,0,0,78.75,0,116.160000,20.930000,0.000000,0.000000,30.970000,261.860000,222.570000

19,04:30-04:45,113.15,78.75,0,0,0,37.72,0,37.71,10.330000,7.790000,0.000000,0,7.160000,0,30.84,0,16.81,3.840000,87.290000,0.000000,0.000000,0,0,78.75,0,116.160000,20.930000,0.000000,0.000000,30.970000,261.860000,222.570000

