Block,Time,L_NR_2019_06,L_NR_2022_10,LT-05,L_NR_2019_07,L_NR_2020_06,SH-07,L_NR_2019_05,L_NR_2021_17,L_NR_2012_07,L_NR_2020_05,L_NR_2022_09,L_NR_2021_16,L_NR_2021_14,L_NR_2012_02,LT_MEJA_Delhi,LT-31,L_NR_2020_07,L_NR_2021_12,L_NR_2020_02,L_NR_2022_08,SH-06,L_NR_2021_15,L_NR_2019_19,L_NR_2019_11,L_NR_2018_61,L_NR_2021_13,LT-59,L_NR_2012_01,L_NR_2012_04,LT-36,LT-35
1,00:00-00:15,0,56.21,115.660000,0,25.86,30.830000,0,0,86.890000,77.57,56.21,0,0,260.670000,6.450000,0.000000,25.85,0,5.560000,14.06,30.830000,0,0.000000,5.210000,12.26,0,5.190000,100.910000,270.930000,0.000000,0.000000

2,00:15-00:30,0,57.21,115.660000,0,26.28,30.830000,0,0,86.890000,78.83,57.21,0,0,260.670000,6.450000,0.000000,26.28,0,5.560000,19.85,30.830000,0,0.000000,5.210000,12.08,0,5.190000,100.910000,270.930000,0.000000,0.000000

3,00:30-00:45,0,58.21,115.660000,0,34.23,30.830000,0,0,86.890000,102.68,58.21,0,0,260.670000,6.450000,0.000000,34.21,0,5.560000,20,30.830000,0,0.000000,5.210000,12.04,0,5.190000,100.910000,270.930000,0.000000,0.000000

4,00:45-01:00,0,70.12,115.660000,0,34.84,30.830000,0,0,86.890000,104.52,70.12,0,0,260.670000,6.450000,0.000000,34.84,0,5.560000,20.23,30.830000,0,0.000000,5.210000,11.98,0,5.190000,100.910000,270.930000,0.000000,0.000000

5,01:00-01:15,0,70.14,115.660000,0,35.04,30.830000,0,0,86.890000,105.12,70.14,0,0,260.670000,6.450000,0.000000,35.05,0,5.560000,20.39,30.830000,0,0.000000,5.210000,11.78,0,5.190000,100.910000,270.930000,0.000000,0.000000

6,01:15-01:30,0,70.1,115.660000,0,41.09,30.830000,0,0,86.890000,123.26,70.1,0,0,260.670000,6.450000,0.000000,41.08,0,5.560000,20.44,30.830000,0,0.000000,5.210000,11.72,0,5.190000,100.910000,270.930000,0.000000,0.000000

7,01:30-01:45,0,70.28,115.660000,0,41,30.830000,0,0,86.890000,123,70.28,0,0,260.670000,6.450000,0.000000,40.99,0,5.560000,22.54,30.830000,0,0.000000,5.210000,11.51,0,5.190000,100.910000,270.930000,0.000000,0.000000

