Block,Time,L_NR_2018_61,L_NR_2022_10,L_NR_2019_05,L_NR_2019_07,L_NR_2022_08,L_NR_2019_06,L_NR_2020_05,L_NR_2022_09,L_NR_2020_06,L_NR_2020_07,L_NR_2021_16,L_NR_2021_13,L_NR_2021_14,L_NR_2021_15,L_NR_2021_17,L_NR_2021_12,L_NR_2019_19,L_NR_2012_04,L_NR_2012_02,LT-36,L_NR_2012_07,LT-31,LT-59,SH-07,LT_MEJA_Delhi,LT-05,LT-35,L_NR_2012_01,L_NR_2019_11,L_NR_2020_02,SH-06
1,00:00-00:15,14.06,66.62,0,0,18.09,0,107.66,66.62,35.89,35.88,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.370000,5.840000,30.830000

2,00:15-00:30,13.91,67.87,0,0,18.77,0,108.63,67.87,36.21,36.21,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.370000,5.840000,30.830000

3,00:30-00:45,13.71,68.08,0,0,21.87,0,109.82,68.08,36.61,36.61,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.370000,5.840000,30.830000

4,00:45-01:00,13.51,68.9,0,0,22.21,0,110.65,68.9,36.88,36.89,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.370000,5.840000,30.830000

5,01:00-01:15,21.14,69.74,0,0,22.77,0,113.18,69.74,37.73,37.71,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.210000,5.840000,30.830000

6,01:15-01:30,21.07,70.29,0,0,23.11,0,114.32,70.29,38.11,38.11,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.210000,5.840000,30.830000

7,01:30-01:45,20.86,71.72,0,0,23.77,0,116.32,71.72,38.78,38.77,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,86.890000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.210000,5.840000,30.830000

8,01:45-02:00,20.64,72.44,0,0,24.11,0,117.81,72.44,39.27,39.27,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.450000,0.000000,5.270000,30.830000,6.450000,115.660000,0.000000,100.910000,5.210000,5.840000,30.830000

9,02:00-02:15,20.51,73.22,0,0,22.27,0,119.82,73.22,39.94,39.95,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.450000,0.000000,5.270000,25.360000,6.450000,115.660000,0.000000,77.060000,5.210000,5.690000,30.830000

10,02:15-02:30,20.28,73.44,0,0,22.27,0,119.82,73.44,39.94,39.95,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.450000,0.000000,5.270000,25.360000,6.450000,115.660000,0.000000,57.800000,5.210000,5.690000,30.830000

11,02:30-02:45,19.91,73.36,0,0,22.27,0,119.62,73.36,39.87,39.88,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.100000,0.000000,5.270000,25.360000,6.450000,115.660000,0.000000,46.240000,5.210000,5.690000,30.830000

12,02:45-03:00,19.71,73.51,0,0,22.3,0,119.72,73.51,39.91,39.9,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.100000,0.000000,5.270000,25.360000,6.450000,94.500000,0.000000,46.240000,5.210000,5.690000,30.830000

13,03:00-03:15,19.52,73.62,0,0,22.47,0,119.41,73.62,39.8,39.81,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.100000,0.000000,5.270000,25.920000,6.450000,66.150000,0.000000,46.240000,5.060000,5.690000,25.920000

14,03:15-03:30,19.11,73.63,0,0,22.34,0,119.78,73.63,39.93,39.92,0,0,0,0,0,0,0.000000,270.930000,260.670000,0.000000,74.100000,0.000000,5.270000,25.920000,6.450000,66.150000,0.000000,46.240000,5.060000,5.690000,25.920000

15,03:30-03:45,18.71,73.52,0,0,22.31,0,119.67,73.52,39.89,39.88,0,0,0,0,0,0,0.000000,270.930000,225.340000,0.000000,74.100000,0.000000,5.270000,25.920000,6.450000,66.150000,0.000000,46.240000,5.060000,5.690000,25.920000

16,03:45-04:00,18.31,73.54,0,0,22.17,0,119.63,73.54,39.88,39.88,0,0,0,0,0,0,0.000000,270.930000,225.340000,0.000000,74.100000,0.000000,5.270000,25.920000,6.450000,66.150000,0.000000,46.390000,5.060000,5.690000,25.920000

17,04:00-04:15,18.11,73.6,0,0,22.4,0,119.84,73.6,39.95,39.94,0,0,0,0,0,0,0.000000,270.930000,184.650000,0.000000,50.380000,0.000000,5.270000,25.920000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.920000

18,04:15-04:30,17.71,73.5,0,0,22.23,0,119.8,73.5,39.93,39.94,0,0,0,0,0,0,0.000000,270.930000,165.390000,0.000000,50.380000,0.000000,5.270000,25.920000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.920000

19,04:30-04:45,17.31,61.84,0,0,22.18,0,119.85,61.84,39.95,39.95,0,0,0,0,0,0,0.000000,270.930000,165.390000,0.000000,31.430000,0.000000,5.270000,25.920000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.920000

20,04:45-05:00,16.7,62.84,0,0,23.01,0,95.26,62.84,31.75,31.76,0,0,0,0,0,0,0.000000,270.930000,165.390000,0.000000,31.430000,0.000000,5.270000,25.920000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.920000

21,05:00-05:15,16.32,63.51,0,0,17.46,0,95.26,63.51,31.75,31.76,0,0,0,0,0,0,0.000000,270.930000,129.080000,0.000000,31.430000,0.000000,5.270000,30.830000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.360000

22,05:15-05:30,15.91,64.51,0,0,17.46,0,96.76,64.51,32.25,32.26,0,0,0,0,0,0,0.000000,270.930000,119.450000,0.000000,31.430000,0.000000,5.270000,30.830000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.360000

23,05:30-05:45,15.31,65.17,0,0,17.39,0,97.76,65.17,32.59,32.58,0,0,0,0,0,0,0.570000,270.930000,148.350000,0.000000,31.430000,0.000000,5.270000,30.830000,5.200000,70.310000,0.000000,75.290000,5.060000,5.610000,25.360000

24,05:45-06:00,14.71,65.84,0,0,17.48,0,99.26,65.84,33.09,33.08,0.73,0,0,0,0.37,0,4.350000,270.930000,165.390000,0.000000,50.380000,0.000000,5.270000,30.830000,5.200000,70.310000,0.000000,46.390000,5.060000,5.610000,25.360000

