Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/3642,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/16/2350,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/8106,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,L_NR_2019_19
1,00:00-00:15,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,29.78,37.24,70.29,37.24,5.71,3.06,3.45,0,30.57,0,5.95,100.43,12.42,0,272.57,192.8,37.24,3.57,261.73,0,32,0

2,00:15-00:30,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,29.78,37.24,70.29,37.24,5.71,3.06,3.45,0,30.57,0,5.95,100.43,12.42,0,272.57,192.8,37.24,3.57,261.73,0,32,0

3,00:30-00:45,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,29.78,37.24,70.29,37.24,5.71,3.06,3.45,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

4,00:45-01:00,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,29.27,37.24,70.29,37.24,5.71,3.06,3.45,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

5,01:00-01:15,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,29.27,37.24,70.29,37.24,5.71,3.06,3.3,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

6,01:15-01:30,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.3,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

7,01:30-01:45,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.3,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

8,01:45-02:00,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.3,0,30.57,0,18.98,100.43,12.42,0,272.57,192.8,37.24,3.57,231.36,0,18.98,0

9,02:00-02:15,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.22,0,30.57,0,24.08,72.3,12.42,0,272.57,0,37.24,3.49,213.14,0,24.08,0

10,02:15-02:30,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.49,203.5,0,24.08,0

11,02:30-02:45,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.49,193.86,0,24.08,0

12,02:45-03:00,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.71,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.49,193.86,0,24.08,0

13,03:00-03:15,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.61,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.41,193.86,0,24.08,0

14,03:15-03:30,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.61,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.41,193.86,0,24.08,0

15,03:30-03:45,16.69,0,7,5.66,7,16.69,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.61,3.06,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.41,193.86,0,24.08,0

16,03:45-04:00,16.37,0,7,5.66,7,16.37,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.61,3.06,3.22,0,30.57,0,24.08,53.02,12.42,0,272.57,0,37.24,3.41,193.86,0,24.08,0

17,04:00-04:15,16.05,0,7,8,7,16.05,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.77,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,24.08,53.02,12.42,0,272.57,0,37.24,3.34,193.86,0,24.08,0

18,04:15-04:30,16.05,0,7,7.66,7,16.05,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,24.08,57.84,12.42,0,272.57,0,37.24,3.34,193.86,0,24.08,0

19,04:30-04:45,16.05,0,7,6.66,7,16.05,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,33,57.84,12.42,0,272.57,0,37.24,3.34,193.86,0,33,0

20,04:45-05:00,15.73,0,7,6,7,15.73,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,33,57.84,12.42,0,272.57,0,37.24,3.34,193.86,0,33,0

21,05:00-05:15,14,0,7,6,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,33,57.84,12.42,0,272.57,0,37.24,3.34,193.86,0,33,0

22,05:15-05:30,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,33,53.02,12.42,0,272.57,0,37.24,3.34,193.86,0,33,0

23,05:30-05:45,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,24.08,53.02,12.42,0,272.57,0,37.24,3.34,193.86,0,24.08,0

24,05:45-06:00,14,0,7,5.66,7,14,7,0,0,21,0,0,0,0,0,0,0,0,12.42,91.71,28.26,37.24,70.29,37.24,5.61,2.97,3.22,0,30.57,0,24.08,62.66,12.42,0,272.57,0,37.24,3.34,193.86,0,24.08,0

25,06:00-06:15,14,3,7,5.66,7,14,7,9.08,8.48,21,0,0,0,0,0,0,0,1,12.42,0,27.25,37.24,70.29,37.24,5.61,2.97,3.14,0,0,0,24.08,67.48,12.42,0,272.57,0,37.24,3.26,193.86,0,24.08,0

26,06:15-06:30,14,8,7,5.66,7,14,7,19.42,18.15,21,1,0,1,0,0,0,0,2,12.42,0,27.25,37.24,70.29,37.24,5.61,2.97,3.14,0,0,0,24.08,67.48,12.42,0,272.57,0,37.24,3.26,193.86,0,24.08,1.09

27,06:30-06:45,14,11,7,5.66,7,14,7,31.89,30.23,21,3,0.09,4,1,0.45,2,0,5,12.42,0,26.75,37.24,70.29,37.24,5.61,2.97,3.14,0,0,0.4,24.08,100.43,12.42,0.39,272.57,0,37.24,3.26,193.86,0.39,24.08,6.79

28,06:45-07:00,14,14,7,5.66,7,14,7,33,33,21,4,0.44,7,3,2.22,3,2,8,12.42,0,26.75,37.24,70.29,37.24,5.61,2.97,3.14,0,0,0.72,24.08,72.3,12.42,0.7,272.57,0,37.24,3.26,193.86,0.7,24.08,14.55

29,07:00-07:15,14,16,7,5.66,7,14,7,32.67,32.67,21,5,1.56,14,6,7.78,7,5,10,12.42,0,26.24,37.24,70.29,37.24,5.61,2.97,3.14,0,0,1.2,24.08,100.43,12.42,1.17,272.57,0,37.24,3.26,193.86,1.17,24.08,22.4

30,07:15-07:30,14,23,7,5.66,7,14,7,33,33,21,7,3.06,25,10,15.33,10,7,15,12.42,0,26.24,37.24,70.29,37.24,5.61,2.97,3.14,0,0,2.28,24.08,100.43,12.42,2.23,272.57,0,37.24,3.26,193.86,2.23,24.08,31.42

31,07:30-07:45,14,32,7,5.66,7,14,7,33,33,21,6,6.11,39,16,30.57,13,8,14,12.42,0,26.24,37.24,70.29,37.24,5.61,2.97,3.14,0,0,3.1,24.08,100.43,12.42,3.03,272.57,0,37.24,3.26,193.86,3.03,24.08,42.36

32,07:45-08:00,0,33,7,5.66,7,0,7,33,33,21,9,9.56,53,22,47.82,18,10,20,12.42,0,26.75,37.24,70.29,37.24,5.61,2.97,3.14,0,0,3.92,24.08,100.43,12.42,3.82,272.57,0,37.24,3.26,193.86,3.82,24.08,54.21

