Column1,Time,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/04/01/7960,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/1333,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/5285,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,GNA/NR/2025/04/16/4327,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1831,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7459,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,5,0,0,0,0,0,0,0,0,0,0,0,0,35.83,76.67,76.66,0,107.51,34.33,35.83,43.74,29.77,2.89,260.4,115.06,48.12,0,2.89,0,9.62,72.17,28.87,86.8,0,5.35,72.17,100.25,10.42,96.23,0,32,32,13.63,14.58,272.09,52.5,9.62,1.92,6.91,19.25,2.89,4.04,7.74,9.62,5.6

2,00:15-00:30,5,0,0,0,0,0,0,0,0,0,0,0,0,35.83,76.67,76.66,0,107.51,34.33,35.83,43.74,29.77,2.89,260.4,115.06,48.12,0,2.89,0,9.62,72.17,28.87,86.8,0,5.35,72.17,100.25,10.42,96.23,0,32,32,13.63,14.58,272.09,52.5,9.62,1.92,6.91,19.25,2.89,4.04,7.74,9.62,5.6

3,00:30-00:45,5,0,0,0,0,0,0,0,0,0,0,0,0,35,76.67,76.66,0,105,34,35,43.74,30.27,2.89,260.4,115.06,48.12,0,2.89,0,9.62,72.17,28.87,86.8,0,5.35,72.17,100.25,10.42,96.23,0,30,30,13.63,14.58,272.09,52.5,9.62,1.92,6.91,19.25,2.89,4.04,7.74,9.62,5.6

4,00:45-01:00,5,0,0,0,0,0,0,0,0,0,0,0,0,34.67,77,77,0,103.99,33.33,34.67,43.74,30.27,2.89,260.4,115.06,48.12,0,2.89,0,9.62,72.17,28.87,86.8,0,5.35,72.17,100.25,10.42,96.23,0,30,30,13.63,14.58,272.09,52.5,9.62,1.92,6.91,19.25,2.89,4.04,7.74,9.62,5.6

5,01:00-01:15,5,0,0,0,0,0,0,0,0,0,0,0,0,35,79.67,79.66,0,105,36.67,35,43.74,30.27,2.89,260.4,115.06,48.12,0,2.89,0,9.62,72.17,28.87,86.8,0,5.35,72.17,91.97,10.42,96.23,0,30,30,13.44,14.58,272.09,52.5,9.62,1.92,6.76,19.25,2.89,4.04,7.74,9.62,5.46

