Block,Time,L_NR_2012_07,L_NR_2012_04,L_NR_2020_02,LT-31,SH-07,L_NR_2019_11,SH-06,LT-35,LT-59,L_NR_2023_04,L_NR_2012_01,L_NR_2012_02,LT-36,LT-05,L_NR_2019_06,L_NR_2018_61,L_NR_2021_15,L_NR_2021_17,L_NR_2021_13,L_NR_2021_16,L_NR_2019_05,L_NR_2021_12,L_NR_2020_05,L_NR_2022_09,L_NR_2020_07,L_NR_2022_10,L_NR_2020_06,L_NR_2022_08,L_NR_2019_19,L_NR_2021_14,L_NR_2019_07
1,00:00-00:15,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.8,0,0,0,0,0,0,56.15,48.42,18.71,48.42,18.72,14.65,0,0,0

2,00:15-00:30,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.68,0,0,0,0,0,0,56.03,48.22,18.67,48.22,18.68,14.53,0,0,0

3,00:30-00:45,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,30.890000,101.130000,261.240000,0.000000,115.890000,0,42.59,0,0,0,0,0,0,55.87,43.72,18.63,43.72,18.62,14.4,0,0,0

4,00:45-01:00,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.37,0,0,0,0,0,0,55.63,43.08,18.56,43.08,18.54,14.31,0,0,0

5,01:00-01:15,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,30.890000,101.130000,261.240000,0.000000,115.890000,0,42.33,0,0,0,0,0,0,55.38,42.64,18.45,42.64,18.46,14.22,0,0,0

6,01:15-01:30,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.32,0,0,0,0,0,0,55.07,41.99,18.35,41.99,18.36,14.1,0,0,0

7,01:30-01:45,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.25,0,0,0,0,0,0,54.72,41.37,18.24,41.37,18.24,13.98,0,0,0

8,01:45-02:00,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.15,0,0,0,0,0,0,54.33,40.75,18.1,40.75,18.11,13.85,0,0,0

9,02:00-02:15,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,45.58,43.44,15.19,43.44,15.19,13.53,0,0,0

10,02:15-02:30,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,45.15,41.88,15.04,41.88,15.05,13.28,0,0,0

11,02:30-02:45,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.09,0,0,0,0,0,0,45.01,40.44,15.01,40.44,15,13.12,0,0,0

12,02:45-03:00,74.030000,271.520000,0.000000,0.000000,0.000000,8.450000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,44.99,39.88,15,39.88,14.99,13.07,0,0,0

13,03:00-03:15,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,45.03,39.12,15,39.12,15.01,13.05,0,0,0

14,03:15-03:30,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,45.08,40.01,15.03,40.01,15.03,13.04,0,0,0

15,03:30-03:45,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,45.16,39.55,15.06,39.55,15.05,12.39,0,0,0

16,03:45-04:00,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,44.09,38.89,14.69,38.89,14.7,11.9,0,0,0

17,04:00-04:15,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.09,0,0,0,0,0,0,41.92,36.5,13.97,36.5,13.97,11.55,0,0,0

18,04:15-04:30,74.030000,271.520000,0.000000,0.000000,0.000000,8.220000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,39.47,34.94,13.16,34.94,13.15,11.31,0,0,0

19,04:30-04:45,74.030000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,37.78,32.68,12.6,32.68,12.59,11.1,0,0,0

20,04:45-05:00,74.030000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,43.12,0,0,0,0,0,0,35.97,30.78,11.99,30.78,11.99,10.77,0,0,0

21,05:00-05:15,65.260000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,30.890000,101.130000,261.240000,0.000000,115.890000,0,43.07,0,0,0,0,0,0,34.8,29.84,11.6,29.84,11.6,10.71,0,0,0

22,05:15-05:30,65.260000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,42.46,0,0,0,0,0,0,33.56,28.71,11.19,28.71,11.19,10.62,0,0,0

23,05:30-05:45,65.260000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,41.99,0,0,0,0,0,0,32.99,28.49,11,28.49,10.99,10.56,0,0.03,0

24,05:45-06:00,65.260000,271.520000,0.000000,0.000000,0.000000,7.830000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,0,41.26,0,0.33,0.01,0.67,0,0.07,32.83,25.82,10.95,25.82,10.94,10.21,0.672888,0.1,0

25,06:00-06:15,74.030000,271.520000,0.000000,0.000000,0.000000,7.670000,0.000000,0.000000,10.330000,29.930000,101.130000,261.240000,0.000000,115.890000,4.6,41.12,0.15,1,0.11,2,4.6,0.58,29.88,24.3,9.95,24.3,9.96,9.83,2.408744,1.27,1.45

26,06:15-06:30,74.030000,271.520000,0.000000,0.370000,0.000000,7.670000,0.000000,0.370000,10.330000,29.930000,101.130000,261.240000,0.380000,115.890000,13.8,41.12,0.96,1.67,0.91,3.33,13.8,4.54,27.88,24.86,9.29,24.86,9.29,9.84,5.50988,3,3

27,06:30-06:45,74.030000,271.520000,0.000000,0.680000,0.000000,7.670000,0.000000,0.680000,10.330000,29.930000,101.130000,261.240000,0.700000,115.890000,27.6,41.06,2.2,2,2.11,4,27.6,10.56,29.18,28.5,9.72,28.5,9.73,9.85,9.752,4.93,8

28,06:45-07:00,65.260000,271.520000,0.000000,1.130000,0.000000,7.670000,0.000000,1.130000,10.330000,29.930000,101.130000,261.240000,1.160000,115.890000,33,41.13,3.73,3.33,3.49,6.67,33,17.47,28.86,29.4,9.62,29.4,9.62,9.83,14.940064,7.23,15

29,07:00-07:15,65.260000,271.520000,0.000000,2.020000,0.000000,7.670000,0.000000,2.020000,10.330000,29.930000,101.130000,261.240000,2.060000,115.890000,33,41.09,5.67,4.67,5.11,9.33,33,25.55,28.89,29.52,9.63,29.52,9.63,9.93,20.635232,10.33,22

30,07:15-07:30,65.260000,271.520000,0.000000,2.930000,0.000000,7.670000,0.000000,2.930000,10.330000,29.930000,101.130000,261.240000,3.010000,115.890000,31.47,41.11,7.9,6,7.18,12,31.48,35.93,28.44,21.7,9.48,21.7,9.48,9.33,26.310896,14.43,30

31,07:30-07:45,65.260000,271.520000,0.000000,3.860000,0.000000,7.670000,0.000000,3.860000,10.330000,29.930000,101.130000,261.240000,3.960000,115.890000,31.16,42.13,10.29,10.67,9.54,21.33,31.17,47.7,28.21,21.71,9.41,21.71,9.4,9.29,29.772856,19.43,31.17

32,07:45:08:00,47.240000,271.520000,0.000000,4.860000,0.000000,7.670000,0.000000,4.860000,10.330000,29.930000,101.130000,261.240000,4.980000,115.890000,31.34,42.12,12.85,13,12.36,26,31.33,61.8,27.79,21.99,9.27,21.99,9.26,9.41,34.76588,24.93,31.33

33,08:00-08:15,47.240000,271.520000,0.000000,5.850000,0.000000,7.520000,0.000000,5.850000,10.330000,29.930000,72.160000,261.240000,6.010000,85.210000,32,42.09,18.52,14,15.06,28,32,75.31,26.49,21.24,8.83,21.24,8.83,9.5,39.78816,30.77,32

34,08:15-08:30,47.240000,271.520000,0.000000,6.650000,0.000000,7.520000,0.000000,6.650000,10.330000,29.930000,50.200000,261.240000,6.810000,85.210000,32,42.12,21.97,14.67,18.11,29.33,32,90.55,25.48,21.43,8.5,21.43,8.49,9.46,44.839696,36.7,32

35,08:30-08:45,47.240000,271.520000,0.000000,7.670000,0.000000,7.520000,0.000000,7.670000,10.330000,29.930000,50.200000,261.240000,7.860000,85.210000,32,42.12,25.22,17.33,21.56,34.67,32,107.81,25.05,21.72,8.35,21.72,8.35,9.32,49.969248,42.47,32

36,08:45:09:00,47.240000,271.520000,0.000000,8.610000,0.000000,7.520000,0.000000,8.610000,10.330000,30.890000,50.200000,261.240000,8.820000,115.890000,32,42.12,28.2,20,24.8,40,32,123.98,24.18,23.38,8.07,23.38,8.06,9.26,55.167064,48.33,32

37,09:00:09:15,47.240000,271.520000,0.000000,9.320000,0.000000,7.520000,0.000000,9.320000,10.330000,28.960000,50.200000,261.240000,9.550000,115.890000,32,43.64,30.74,23.33,27.77,46.67,32,138.87,25.59,25.26,8.54,25.26,8.53,9.45,68.45904,53.87,32

38,09:15-09:30,47.240000,271.520000,0.000000,9.720000,0.000000,7.520000,0.000000,9.720000,10.330000,28.960000,50.200000,261.240000,9.960000,115.890000,32,43.64,32.87,24.33,31.32,48.67,32,156.63,43.41,39,14.47,39,14.47,13.33,72.954712,59.2,32

39,09:30-09:45,47.240000,271.520000,0.000000,9.910000,0.000000,7.520000,0.000000,9.910000,10.330000,29.930000,79.160000,261.240000,10.160000,115.890000,32,43.72,34.42,26.33,34.54,52.67,32,172.73,43.69,39.54,14.56,39.54,14.56,13.52,76.933528,64.2,32

40,09:45-10:00,65.260000,271.520000,0.000000,10.030000,0.000000,7.520000,0.000000,10.030000,10.330000,29.930000,101.130000,261.240000,10.290000,115.890000,32,43.63,36.63,28.66,37.01,57.34,32,185.07,44.37,39.69,14.8,39.69,14.79,13.14,80.580776,68.57,32

41,10:00-10:15,65.260000,271.520000,0.000000,10.250000,0.000000,7.670000,0.000000,10.250000,10.330000,30.890000,101.130000,261.240000,10.510000,115.890000,32,43.82,38.5,30.66,39.78,61.34,32,198.93,47.87,41.12,15.95,41.12,15.96,13.63,83.96472,72.77,32

