Block,Time,SH-06,L_NR_2012_02,LT-36,L_NR_2022_09,L_NR_2022_08,L_NR_2018_61,L_NR_2021_13,LT-35,L_NR_2019_07,L_NR_2021_15,LT-05,L_NR_2019_11,L_NR_2012_04,L_NR_2020_05,LT_MEJA_Delhi,SH-07,L_NR_2020_06,L_NR_2021_17,L_NR_2019_05,L_NR_2020_07,L_NR_2021_14,L_NR_2012_07,L_NR_2019_19,L_NR_2022_10,LT-31,L_NR_2019_06,L_NR_2020_02,L_NR_2012_01,LT-59,L_NR_2021_16,L_NR_2023_04,L_NR_2021_12
1,00:00-00:15,29.280000,261.990000,0.000000,35.76,15.52,24.2,0,0.000000,0,0,116.220000,10.790000,272.310000,38.54,3.880000,29.280000,12.85,0,0,12.85,0,87.330000,0,35.76,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

2,00:15-00:30,29.280000,261.990000,0.000000,36.75,15.52,23.82,0,0.000000,0,0,116.220000,10.790000,272.310000,41.78,3.880000,29.280000,13.93,0,0,13.92,0,87.330000,0,36.75,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

3,00:30-00:45,29.280000,261.990000,0.000000,37.58,15.61,21.95,0,0.000000,0,0,116.220000,10.790000,272.310000,40.31,3.880000,29.280000,13.44,0,0,13.42,0,87.330000,0,37.58,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

4,00:45-01:00,29.280000,261.990000,0.000000,38.55,15.78,21.75,0,0.000000,0,0,116.220000,10.790000,272.310000,40.22,3.880000,29.280000,13.41,0,0,13.41,0,87.330000,0,38.55,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

5,01:00-01:15,29.280000,261.990000,0.000000,39.54,15.97,21.47,0,0.000000,0,0,116.220000,10.790000,272.310000,40.86,3.880000,29.280000,13.62,0,0,13.62,0,87.330000,0,39.54,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

6,01:15-01:30,29.280000,261.990000,0.000000,40.27,16.18,26.54,0,0.000000,0,0,116.220000,10.790000,272.310000,41.29,3.880000,29.280000,13.76,0,0,13.77,0,87.330000,0,40.27,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

7,01:30-01:45,29.280000,261.990000,0.000000,41.23,16.43,26.17,0,0.000000,0,0,116.220000,10.790000,272.310000,41.32,3.880000,29.280000,13.77,0,0,13.78,0,87.330000,0,41.23,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

8,01:45-02:00,30.980000,261.990000,0.000000,41.92,16.64,25.49,0,0.000000,0,0,116.220000,10.790000,272.310000,40.41,3.880000,30.980000,13.47,0,0,13.47,0,87.330000,0,41.92,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

9,02:00-02:15,30.980000,261.990000,0.000000,42.82,16.98,24.8,0,0.000000,0,0,116.220000,10.790000,272.310000,46.31,3.880000,30.980000,15.44,0,0,15.43,0,87.330000,0,42.82,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

10,02:15-02:30,30.980000,261.990000,0.000000,43.91,17.77,24.45,0,0.000000,0,0,116.220000,10.790000,272.310000,48.13,3.880000,30.980000,16.04,0,0,16.05,0,87.330000,0,43.91,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

11,02:30-02:45,30.980000,261.990000,0.000000,44.86,18.13,24,0,0.000000,0,0,116.220000,10.790000,272.310000,50.72,3.880000,30.980000,16.91,0,0,16.91,0,87.330000,0,44.86,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

12,02:45-03:00,30.980000,261.990000,0.000000,45.18,23.71,14.07,0,0.000000,0,0,116.220000,10.790000,272.310000,65.39,3.880000,30.980000,21.8,0,0,21.79,0,87.330000,0,45.18,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

13,03:00-03:15,20.940000,261.990000,0.000000,46.3,23.89,14.13,0,0.000000,0,0,116.220000,10.790000,272.310000,66.4,3.880000,30.980000,22.14,0,0,22.13,0,87.330000,0,46.3,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

14,03:15-03:30,20.940000,261.990000,0.000000,47.44,23.99,13.42,0,0.000000,0,0,116.220000,10.790000,272.310000,66.71,3.880000,30.980000,22.24,0,0,22.23,0,87.330000,0,47.44,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

15,03:30-03:45,20.940000,261.990000,0.000000,44.88,24.12,12.97,0,0.000000,0,0,116.220000,10.790000,272.310000,66.83,3.880000,30.980000,22.28,0,0,22.28,0,87.330000,0,44.88,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

16,03:45-04:00,20.940000,261.990000,0.000000,45.08,24.24,12.77,0,0.000000,0,0,116.220000,10.790000,272.310000,66.89,3.880000,30.980000,22.3,0,0,22.3,0,72.210000,0,45.08,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

17,04:00-04:15,20.940000,261.990000,0.000000,45.23,24.22,12.2,0,0.000000,0,0,116.220000,10.790000,272.310000,66.97,3.880000,30.980000,22.32,0,0,22.33,0,64.460000,0,45.23,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

18,04:15-04:30,20.940000,261.990000,0.000000,45.08,24.28,11.74,0,0.000000,0,0,116.220000,10.790000,272.310000,67.6,3.880000,30.980000,22.53,0,0,22.54,0,68.340000,0,45.08,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

19,04:30-04:45,20.940000,261.990000,0.000000,45.23,20.7,7.45,0,0.000000,0,0,94.950000,10.790000,272.310000,67.79,3.910000,30.980000,22.6,0,0,22.58,0,63.490000,0,45.23,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

20,04:45-05:00,20.940000,261.990000,0.000000,45.53,20.8,7.25,0,0.000000,0,0,66.470000,10.790000,272.310000,67.12,0.390000,30.980000,22.37,0,0,22.38,0,63.490000,0,45.53,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

21,05:00-05:15,20.940000,261.990000,0.000000,52.99,20.89,7.31,0,0.000000,0,0,66.470000,10.790000,272.310000,67.86,0.390000,30.980000,22.62,0,0,22.62,0,63.490000,0,52.99,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

22,05:15-05:30,20.940000,239.500000,0.000000,53.99,20.98,7.25,0,0.000000,0,0,66.470000,10.790000,272.310000,66.96,2.180000,30.980000,22.32,0,0,22.32,0,63.490000,0,53.99,0.000000,0,11.920000,101.420000,10.360000,0,0.000000,0

23,05:30-05:45,20.940000,199.810000,0.000000,54.15,21.22,7.36,0,0.000000,0,0,66.470000,10.790000,272.310000,68.43,2.180000,30.980000,22.81,0.14,0,22.81,0,63.490000,0.536635,54.15,0.000000,0,11.920000,101.420000,10.360000,0.29,0.000000,0

24,05:45-06:00,20.940000,199.810000,0.000000,54.36,21.59,7.34,0.09,0.000000,0,0.34,66.470000,10.790000,272.310000,67.69,2.020000,30.980000,22.57,0.75,0,22.56,0,63.490000,2.449007,54.36,0.000000,0,11.920000,101.420000,10.360000,1.5,0.000000,0.48

25,06:00-06:15,21.780000,199.810000,0.000000,54.49,21.85,7.24,0.72,0.000000,4.16,0.73,94.950000,10.790000,272.310000,65.98,0.390000,21.780000,21.99,2.06,14.54,22,0.03,63.490000,6.303022,54.49,0.000000,11.94,11.920000,101.420000,10.140000,4.11,0.000000,3.59

26,06:15-06:30,21.780000,199.810000,0.120000,55.4,15.01,7.24,1.59,0.120000,8.31,1.85,66.470000,10.790000,272.310000,50.37,0.390000,21.780000,16.79,3.54,23.88,16.78,0.03,63.490000,9.034982,55.4,0.120000,20.95,11.920000,101.420000,10.140000,7.08,0.000000,7.97

27,06:30-06:45,21.780000,199.810000,0.930000,49.46,15.22,7.34,2.73,0.910000,14.74,3.12,66.470000,10.790000,272.310000,52.7,0.390000,21.780000,17.57,5.52,33,17.56,0.33,51.000000,11.854755,49.46,0.910000,31.63,11.920000,101.420000,10.140000,11.05,0.000000,13.68

28,06:45-07:00,21.780000,153.630000,1.460000,50.11,15.61,7.24,4.05,1.420000,24.81,4.76,66.470000,10.790000,272.310000,52.9,0.390000,21.780000,17.63,8.07,32.82,17.63,1,31.950000,15.386789,50.11,1.420000,32.82,11.920000,101.420000,10.140000,16.13,0.000000,20.26

29,07:00-07:15,21.780000,118.120000,2.270000,50.56,16.06,7.24,5.87,2.210000,30.15,6.89,66.470000,10.790000,272.310000,53.76,2.180000,21.780000,17.92,10.68,30.15,17.92,2,31.950000,19.621327,50.56,2.210000,30.15,11.920000,101.420000,10.140000,21.36,0.000000,29.37

