Column1,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNARE/SR/2025/01/13/4532,GNARE/SR/2025/07/24/1197,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1044,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1192,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/24/8741,GNA/NR/2025/07/01/2786,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8154,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/8128
1,00:00-00:15,10.73,0,0,0,0,0,0,52.34,25,62.51,0,20.83,0,20.83,0,0,0,0,0,52.33,86.69,100.13,43.01,0,10.47,0,134.79,0,30,0,19.22,3.24,-0,49.02,270.31,40.62,15.23,163.39,8.35,0,43.68,115.29,20.73,8.39,0,130.04,8.25,13.61,25.24,12.46

2,00:15-00:30,10.73,0,0,0,0,0,0,52,24.67,63.49,0,21.17,0,21.17,0,0,0,0,0,52,86.69,100.13,43.01,0,10.47,0,134.79,0,30,0,19.22,3.24,-0,49.02,270.31,40.62,15.23,163.39,8.35,0,43.68,115.29,20.73,8.39,0,130.04,8.25,13.61,25.24,12.46

3,00:30-00:45,10.73,0,0,0,0,0,0,52.34,24.33,63.49,0,21.17,0,21.17,0,0,0,0,0,52.33,86.69,100.13,43.01,0,10.47,0,134.79,0,30,0,19.22,3.24,-0,49.02,270.31,40.62,15.23,163.39,8.35,0,43.68,115.29,20.73,8.39,0,130.04,8.25,13.61,25.24,12.46

4,00:45-01:00,10.73,0,0,0,0,0,0,52,23.33,63,0,21,0,21,0,0,0,0,0,52,86.69,100.13,43.01,0,10.47,0,134.79,0,30,0,19.22,3.24,-0,49.02,270.31,40.62,15.23,163.39,8.35,0,43.68,115.29,20.73,8.39,0,130.04,8.25,13.61,25.24,12.46

5,01:00-01:15,10.73,0,0,0,0,0,0,51,22.67,62.51,0,20.83,0,20.83,0,0,0,0,0,51,86.69,100.13,42.81,0,10.47,0,134.79,0,30,0,19.22,3.24,-0,49.02,270.31,40.62,15.23,163.39,8.35,0,43.68,115.29,20.73,7.92,0,130.04,8.25,13.61,25.24,12.46

