Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/04/01/4420,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/1831,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/16/4327,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/6216,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,100.17,4.22,30.28,0,260.18,32,114.97,7.73,52.5,4.04,1.92,0,86.73,72.11,271.86,3.49,32,2.88,0,2.88,9.62,9.62,0,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,0,10.41,48.08,2.88,6.6,0,0,0,0,0,0,0,0,0,24.17,24.17,0,65.33,0,0,0,72.49,65.34,22.67

2,00:15-00:30,100.17,4.22,30.78,0,260.18,32,114.97,7.73,52.5,4.04,1.92,0,86.73,72.11,271.86,4.18,32,2.88,0,2.88,9.62,9.62,0,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,0,10.41,48.08,2.88,6.6,0,0,0,0,0,0,0,0,0,24.33,24.33,0,66.33,0,0,0,73.01,66.34,23

3,00:30-00:45,100.17,4.22,30.78,0,260.18,32,114.97,7.73,52.5,4.04,1.92,0,86.73,72.11,271.86,4.18,32,2.88,0,2.88,9.62,9.62,0,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,0,10.41,48.08,2.88,6.6,0,0,0,0,0,0,0,0,0,24.5,24.5,0,67.33,0,0,0,73.5,67.34,23.33

4,00:45-01:00,100.17,4.22,30.78,0,260.18,32,114.97,7.73,52.5,4.04,1.92,0,86.73,72.11,271.86,4.18,32,2.88,0,2.88,9.62,9.62,0,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,0,10.41,48.08,2.88,6.6,0,0,0,0,0,0,0,0,0,24.5,24.5,0,68,0,0,0,73.5,68,23.33

5,01:00-01:15,74.8,4.07,30.78,0,260.18,32,114.97,7.73,52.5,4.04,1.92,0,86.73,72.11,271.86,4.18,32,2.88,0,2.88,9.62,9.62,0,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,0,10.41,48.08,2.88,6.6,0,0,0,0,0,0,0,0,0,24.33,24.33,0,69,0,0,0,73.01,69,24

