Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/28072024/28072024/IEX_240727-01742,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/06022042/L_NR_2012_07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0.000000,0.000000,6.360000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.970000,261.890000,272.740000,48.230000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,15.33,33.82,0,11,0,0,0,0,0,0,0,41.33,15.34,0,46,0,41.33,0,0

2,00:15-00:30,0.000000,0.000000,6.360000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.970000,261.890000,272.740000,48.230000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,15.33,33.62,0,11.34,0,0,0,0,0,0,0,41.33,15.34,0,46,0,41.33,0,0

3,00:30-00:45,0.000000,0.000000,6.360000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.970000,261.890000,272.740000,48.230000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,15.33,33.02,0,11.34,0,0,0,0,0,0,0,41,15.34,0,46,0,41,0,0

4,00:45-01:00,0.000000,0.000000,6.360000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.970000,261.890000,272.740000,48.230000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,15,32.82,0,11.66,0,0,0,0,0,0,0,40,15,0,45,0,40,0,0

5,01:00-01:15,0.000000,0.000000,6.210000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.740000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,11.67,33.02,0,11.34,0,0,0,0,0,0,0,30,11.66,0,35,0,30,0,0

6,01:15-01:30,0.000000,0.000000,6.210000,96.460000,24.120000,8.770000,10.240000,57.840000,0.000000,0.000000,9.740000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,11.67,33.02,0,11,0,0,0,0,0,0,0,30,11.66,0,35,0,30,0,0

7,01:30-01:45,0.000000,0.000000,6.210000,96.460000,24.120000,8.770000,0.000000,57.840000,0.000000,0.000000,9.740000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,11.67,32.42,0,10.66,0,0,0,0,0,0,0,34,11.66,0,35,0,34,0,0

8,01:45-02:00,0.000000,0.000000,6.210000,96.460000,24.120000,8.770000,0.000000,57.840000,0.000000,0.000000,9.740000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.980000,31.280000,0.000000,100.490000,30.870000,48.230000,11.67,31.42,0,10.34,0,0,0,0,0,0,0,34,11.66,0,35,0,34,0,0

9,02:00-02:15,0.000000,0.000000,6.080000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,9.590000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,14.83,33.81,0,15.66,0,0,0,0,0,0,0,38.33,14.84,0,44.5,0,38.33,0,0

10,02:15-02:30,0.000000,0.000000,6.080000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,9.590000,261.890000,272.740000,0.000000,0.000000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,14.67,33.41,0,15.34,0,0,0,0,0,0,0,37.33,14.66,0,44,0,37.33,0,0

11,02:30-02:45,0.000000,0.000000,6.080000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,0.000000,261.890000,272.740000,0.000000,7.720000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,14.5,32.81,0,15.34,0,0,0,0,0,0,0,36.33,14.5,0,43.5,0,36.33,0,0

12,02:45-03:00,0.000000,0.000000,6.080000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,0.000000,261.890000,272.740000,0.000000,7.720000,0.000000,72.340000,87.010000,38.580000,96.460000,30.870000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,14.33,32.01,0,14.66,0,0,0,0,0,0,0,35,14.34,0,43,0,35,0,0

13,03:00-03:15,0.000000,0.000000,5.930000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,0.000000,261.890000,272.740000,0.000000,7.720000,0.000000,72.340000,87.010000,0.000000,96.460000,13.460000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,13.83,37.02,0,9.66,0,0,0,0,0,0,0,31,13.84,0,41.5,0,31,0,0

14,03:15-03:30,0.000000,0.000000,5.930000,96.460000,24.120000,8.770000,0.000000,33.080000,0.000000,0.000000,0.000000,261.890000,272.740000,0.000000,7.720000,0.000000,72.340000,87.010000,0.000000,96.460000,13.460000,10.410000,12.800000,31.280000,0.000000,100.490000,30.870000,48.230000,13.33,36.62,0,9.66,0,0,0,0,0,0,0,31,13.34,0,40,0,31,0,0

