Column1,Time,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5126,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/WR/2025/08/25/1832,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/4452,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/4125,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,NR/01102023/31052040/LT-31
1,00:00-00:15,-0,20.44,28.01,0,35,12.67,9.33,35,0,0,0,0,12.65,0,0,0,9.33,0,0,0,0,0,0,0,0,31.52,0,73,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,86.78,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

2,00:15-00:30,-0,20.44,29.51,0,35.34,13,9.83,35.33,0,0,0,0,12.65,0,0,0,9.83,0,0,0,0,0,0,0,0,36.42,0,70.17,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,86.78,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

3,00:30-00:45,-0,20.44,31.99,0,35.66,13.33,10.67,35.67,0,0,0,0,12.65,0,0,0,10.67,0,0,0,0,0,0,0,0,30.02,0,70.17,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,86.78,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

4,00:45-01:00,-0,20.44,34.01,0,36,13.33,11.33,36,0,0,0,0,12.65,0,0,0,11.33,0,0,0,0,0,0,0,0,30.02,0,70.17,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,86.78,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

5,01:00-01:15,-0,20.44,36,0,36.34,13.33,12,36.33,0,0,0,0,12.65,0,0,0,12,0,0,0,0,0,0,0,0,24.01,0,70.17,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,76.28,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

6,01:15-01:30,-0,20.44,37.01,0,36.66,13,12.33,36.67,0,0,0,0,12.65,0,0,0,12.33,0,0,0,0,0,0,0,0,25.01,0,70.17,100.23,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,76.28,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

7,01:30-01:45,-0,20.44,38.51,0,37,12.67,12.83,37,0,0,0,0,12.65,0,0,0,12.83,0,0,0,0,0,0,0,0,25.41,0,70.17,79.85,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,73.55,0,14.58,224.08,270.59,0,28.93,33.67,81.78,40.89,0

8,01:45-02:00,-0,20.44,40.01,0,37.34,12.33,13.33,37.33,0,0,0,0,12.65,0,0,0,13.33,0,0,0,0,0,0,0,0,26.01,0,70.17,52.92,20.76,19.24,14.58,2.77,4,15.25,0,0,0,20.44,56.4,0,14.58,222.16,270.59,0,28.93,33.67,81.78,40.89,0

9,02:00-02:15,-0,20.44,42,0,37.66,12,14,37.67,0,0,0,0,12.65,0,0,0,14,0,0,0,0,0,0,0,0,32.01,0,70.17,52.92,20.76,19.24,14.58,3.24,4,15.25,0,0,0,20.44,56.4,0,14.58,199.38,270.59,0,28.93,81.78,81.78,40.89,0

10,02:15-02:30,-0,20.44,43.99,0,41,11.33,14.67,41,0,0,0,0,12.65,0,0,0,14.67,0,0,0,0,0,0,0,0,32.41,0,70.17,52.92,20.76,19.24,14.58,3.24,4,15.25,0,0,0,20.44,56.4,0,14.58,179.17,270.59,0,28.93,81.78,81.78,40.89,0

11,02:30-02:45,-0,20.44,40.52,0,41,11,13.5,41,0,0,0,0,12.65,0,0,0,13.5,0,0,0,0,0,0,0,0,38.02,0,70.17,52.92,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,56.4,0,14.58,172.44,270.59,0,28.93,81.78,81.78,40.89,0

12,02:45-03:00,-0,20.44,38.98,0,40,11,13,40,0,0,0,0,12.65,0,0,0,13,0,0,0,0,0,0,0,0,38.02,0,70.17,52.92,20.76,19.24,14.58,3.23,4,15.25,0,0,0,20.44,56.4,0,14.58,159.93,262.76,0,28.93,81.78,81.78,40.89,0

13,03:00-03:15,-0,20.44,27.49,0,31.01,10.67,9.17,31.02,0,0,0,0,9.88,0,0,0,9.17,0,0,0,0,0,0,0,0,38.02,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,248.26,0,28.93,81.78,81.78,40.89,0

14,03:15-03:30,-0,20.44,27.49,0,29.51,10.33,9.17,29.51,0,0,0,0,9.88,0,0,0,9.17,0,0,0,0,0,0,0,0,37.02,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,228.75,0,28.93,81.78,81.78,40.89,0

15,03:30-03:45,-0,20.44,27.49,0,27.96,10.33,9.17,27.97,0,0,0,0,9.88,0,0,0,9.17,0,0,0,0,0,0,0,0,36.62,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,212.49,0,28.93,81.78,81.78,40.89,0

16,03:45-04:00,-0,20.44,27.49,0,26.36,10.33,9.17,26.35,0,0,0,0,9.88,0,0,0,9.17,0,0,0,0,0,0,0,0,36.01,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,198.23,0,28.93,81.78,81.78,40.89,0

17,04:00-04:15,-0,20.44,27.49,0,24.76,10,9.17,24.75,0,0,0,0,9.88,0,0,0,9.17,0,0,0,0,0,0,0,0,38.62,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,230.9,0,28.93,81.78,81.78,40.89,0

18,04:15-04:30,-0,20.44,26.11,0,23.86,9.67,8.7,23.87,0,0,0,0,9.88,0,0,0,8.7,0,0,0,0,0,0,0,0,38.02,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,230.9,0,28.93,81.78,81.78,40.89,0

19,04:30-04:45,-0,20.44,24.3,0,32.34,9.33,8.1,32.33,0,0,0,0,9.88,0,0,0,8.1,0,0,0,0,0,0,0,0,37.62,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,230.9,0,28.93,81.78,81.78,40.89,0

20,04:45-05:00,-0,20.44,22.39,0,30.51,9.33,7.47,30.52,0,0,0,0,9.88,0,0,0,7.47,0,0,0,0,0,0,0,0,37.02,0,70.17,52.92,20.76,19.24,14.58,3.21,4,15.25,0,0,0,20.44,38.48,0,14.58,96.21,230.9,0,28.93,81.78,81.78,40.89,0

