Block,Time,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/30092023/26122029/SH-06,NR/01062024/30062024/R2,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/IEPL01,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,10.400000,87.020000,0.000000,30.870000,8.620000,16.090000,22.890000,30.870000,24.120000,0.000000,48.240000,272.770000,38.590000,38.590000,0.000000,10.590000,0.000000,30.280000,100.500000,24.120000,0.000000,21.750000,24.120000,67.530000,48.240000,0.000000,0.000000,18.700000,115.340000,259.070000,47.33,16.66,0,0,0,0,0,21.67,21.66,65,47.33,0,0,0,0,0,0,0,31.02

2,00:15-00:30,10.400000,87.020000,0.000000,30.870000,8.620000,16.090000,22.890000,30.870000,24.120000,0.000000,48.240000,272.770000,38.590000,38.590000,0.000000,10.590000,0.000000,30.280000,100.500000,24.120000,0.000000,21.750000,24.120000,67.530000,48.240000,0.000000,0.000000,18.700000,115.340000,259.070000,48.33,17.34,0,0,0,0,0,22,22,66,48.33,0,0,0,0,0,0,0,30.62

3,00:30-00:45,10.400000,87.020000,0.000000,30.870000,8.620000,16.090000,22.890000,30.870000,24.120000,0.000000,48.240000,272.770000,38.590000,38.590000,0.000000,10.590000,0.000000,30.280000,100.500000,24.120000,0.000000,21.750000,24.120000,67.530000,48.240000,0.000000,0.000000,18.700000,115.340000,259.070000,49.33,17.66,0,0,0,0,0,22.5,22.5,67.5,49.33,0,0,0,0,0,0,0,30.02

4,00:45-01:00,10.400000,87.020000,0.000000,30.870000,8.620000,16.090000,22.890000,30.870000,24.120000,0.000000,48.240000,272.770000,38.590000,38.590000,0.000000,10.590000,0.000000,30.280000,100.500000,24.120000,0.000000,21.750000,24.120000,67.530000,48.240000,0.000000,0.000000,18.700000,115.340000,259.070000,50.67,18,0,0,0,0,0,23,23,69,50.67,0,0,0,0,0,0,0,29.42

5,01:00-01:15,10.400000,87.020000,0.000000,30.870000,8.340000,12.290000,22.890000,30.870000,24.120000,0.000000,48.240000,272.770000,38.590000,38.590000,0.000000,10.590000,0.000000,30.280000,100.500000,24.120000,0.000000,21.750000,24.120000,67.530000,48.240000,0.000000,0.000000,18.700000,115.340000,259.070000,51.67,18.34,0,0,0,0,0,23.33,23.34,70,51.67,0,0,0,0,0,0,0,28.61

