Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01112023/30112023/HP-10,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/03112023/30112023/IEX-231101-05680,NR/01102023/05012040/L_NR_2020_02,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-09,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/29112023/29112023/HPX-TAMCTG-281123-05322,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,1.530000,0.000000,0.000000,26.020000,0.000000,23.140000,98.350000,26.020000,0.000000,71.730000,48.200000,2.040000,48.200000,76.640000,53.030000,231.380000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,15.01,8.9,0,0,65.23,0,0,50.91,144.62,0,0,21.74,0,50.91,0,0,0,21.74,0

2,00:15-00:30,1.530000,0.000000,0.000000,26.020000,0.000000,23.140000,98.350000,26.020000,0.000000,71.730000,48.200000,2.040000,48.200000,76.640000,53.030000,192.820000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,14.62,8.78,0,0,62.69,0,0,51.02,144.62,0,0,20.9,0,51.02,0,0,0,20.89,0

3,00:30-00:45,1.530000,0.000000,0.000000,26.020000,0.000000,23.140000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,192.820000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,14.1,8.59,0,0,59.14,0,0,50.37,144.62,0,0,19.71,0,50.37,0,0,0,19.72,0

4,00:45-01:00,1.530000,0.000000,0.000000,26.020000,0.000000,24.100000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,192.820000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,13.68,8.4,0,0,56.29,0,0,49.74,144.62,0,0,18.76,0,49.74,0,0,0,18.77,0

5,01:00-01:15,1.530000,0.000000,0.000000,26.020000,0.000000,24.100000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,149.130000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,13.23,8.35,0,0,54.64,0,0,48.5,144.62,0,0,18.21,0,48.5,0,0,0,18.21,0

6,01:15-01:30,1.530000,0.000000,0.000000,26.020000,0.000000,24.100000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,149.130000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,12.73,8.24,0,0,53.35,0,0,55.32,144.62,0,0,17.78,0,55.32,0,0,0,17.78,0

7,01:30-01:45,1.530000,0.000000,0.000000,26.020000,0.000000,24.100000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,149.130000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,12.24,8.7,0,0,52.22,0,0,52.8,144.62,0,0,17.41,0,52.8,0,0,0,17.4,0

8,01:45-02:00,1.530000,0.000000,0.000000,26.020000,0.000000,24.100000,98.350000,26.020000,0.000000,71.730000,48.200000,1.950000,48.200000,76.640000,53.030000,149.130000,31.820000,115.690000,0.000000,96.410000,1.400000,0,0,0,11.69,9.18,0,0,50.72,0,0,49.54,144.62,0,0,16.91,0,49.54,0,0,0,16.9,0

