Column1,Time,GNA/NR/2025/05/16/9317,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/9252,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/2474,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/05/01/4138,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,82.12,9.63,32,13.23,69.15,115.53,13.53,29.78,201.31,5.62,32,0,0,273.16,17.56,8.18,0,5.98,0,0,37.62,0,0,0,0,0,0,0,0,0,10.63,0,28.98,36.67,0,0,36.67,0,109.99,80,0,80,36.67,14.49,164.24,67.63,0,4.35,20.53,0,14.49,5.8,28.98,100.65

2,00:15-00:30,82.12,9.63,32,13.23,69.15,115.53,13.53,30.28,201.31,5.62,32,0,0,273.16,17.56,8.18,0,5.98,0,0,37.02,0,0,0,0,0,0,0,0,0,10.63,0,28.98,36.67,0,0,36.67,0,109.99,80,0,80,36.67,14.49,164.24,67.63,0,4.35,20.53,0,14.49,5.8,28.98,100.65

3,00:30-00:45,82.12,9.63,32,13.23,69.15,115.53,13.53,30.79,201.31,6.56,32,0,0,273.16,17.56,8.18,0,5.98,0,0,43.01,0,0,0,0,0,0,0,0,0,10.63,0,28.98,36.67,0,0,36.67,0,109.99,80,0,80,36.67,14.49,164.24,67.63,0,4.35,20.53,0,14.49,5.8,28.98,100.65

4,00:45-01:00,82.12,9.63,32,13.23,69.15,94.7,13.53,30.79,201.31,6.56,32,0,0,273.16,17.56,8.18,0,5.98,0,0,43.01,0,0,0,0,0,0,0,0,0,10.63,0,28.98,36.33,0,0,36.67,0,109.99,80,0,80,36.67,14.49,164.24,67.63,0,4.35,20.53,0,14.49,5.8,28.98,100.65

5,01:00-01:15,82.12,9.4,26.93,13.23,39.61,63.54,13.53,30.79,145.57,7.5,26.93,0,0,231.86,17.56,7.79,0,3.24,0,0,43.01,0,0,0,0,0,0,0,0,0,10.63,0,28.98,36.33,0,0,36.67,0,109.99,80,0,80,36.67,14.49,164.24,67.63,0,4.35,20.53,0,14.49,5.8,28.98,100.65

