Column1,Block,NR/2024/22898/A/35480,NR/2024/22899/A/35482,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/03/9052,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,NR/2024/22833/A/35563,NR/2024/22753/A/35518,GNA/NR/2024/09/01/4802,NR/2024/22872/A/35314,NR/2024/22754/A/35517,NR/2024/21658/A/35241,NR/2024/22734/A/35498,NR/2024/22848/A/35530,NR/2024/22802/A/35565,NR/2024/22888/A/35522,NR/2024/22957/C,NR/2024/22874/A/35566,NR/2024/22860/A/35528,NR/2024/22837/A/35562,NR/2024/22954/C,NR/2024/22835/A/35575,NR/2024/22816/A/35266,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/3451,NR/2024/22820/A/35288,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2024/22958/C,GNA/NR/2024/09/01/9821,NR/2024/22832/A/35564,NR/2024/22839/A/35561,NR/2024/22955/C,NR/2024/22961/C,Total
,,SJVNL,SJVNL,DELHI,AEL,HPXL,DELHI,INSTINCT,TPTCL,JITPL,NVVNL,PTC,NVVNL,DIAPL,PTC,ITCLH,TPDDL,APPCPL,NVVNL,APPCPL,NVVNL,NVVNL,APPCPL,NVVNL,TPDDL,MANIKARAN,TPTCL,MANIKARAN,TPTCL,IEXL,MANIKARAN,BAWANA_GAS,PUNJAB,NVVNL,APPCPL,NVVNL,NVVNL,NVVNL,SJVNL,
,,NA,NA,NA,NA,PUNJAB_STATE,HIMACHAL_STATE,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,UTTARAKHAND_STATE,NA,KERALA_State,NA,MP_State,Nagaland_State,NA,NA,MSEB_State,NA,MP_State,NA,KARNATAKA_STATE,ODISHA_STATE,DELHI_UT,DELHI_UT,NA,Arunachal_State,NA,NA,NA,NA,
,,RSRPL_BKN,TPSL_BKN2,SKS_Raigarh,APL_Raigarh_TPP,PUNJAB,CHANJUII,JPL2,JITPL,JITPL,RKM_POWER,HP,JPNIGRIE_JNSTPP,GBHHPL,HP,ITCWIND,JPL2,UTTARAKHAND,JPNIGRIE_JNSTPP,KSEB,Kameng,JP_BINA,Nagaland_Ben,JPL2,JHAJJAR,AEML,SIMHAPURI,BLAPOWER_MP,SIMHAPURI,NSLSUGAR,MAADURGA_THERMAL,BAWANA_GAS,BAWANA_GAS,SORANG_HEP,Arunachal_Ben,RKM_POWER,TRN_ENERGY,SOLAPUR_SOLAR,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,BRPL,DELHI,TPDDL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,DIAPL,BYPL,ITCLH,TPDDL,BYPL,BRPL,BYPL,TPDDL,TPDDL,BYPL,NDMC,TPDDL,BYPL,BRPL,BRPL,BRPL,MES_Delhi,BRPL,HARYANA,PUNJAB,TPDDL,BRPL,NDMC,NDMC,MES_Delhi,NDMC,
,,North-North,North-North,West-North,West-North,North-North,North-North,West-North,East-North,East-North,West-North,North-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,South-West-North,North East-East-North,West-North,North East-East-North,West-North,North-North,West-North,South-West-North,West-North,South-East-North,South-West-North,East-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.87,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,32,32,28.07,32.91,37.39,12.47,0,0,1637.46

2,00:15-00:30,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.87,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,32,32,28.07,32.91,37.39,12.47,0,0,1637.46

3,00:30-00:45,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.87,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,18.5536,32,28.07,32.91,37.39,12.47,0,0,1624.0136

4,00:45-01:00,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.87,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,18.5536,32,28.07,32.91,37.39,12.47,0,0,1624.0136

5,01:00-01:15,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,18.5536,32,28.07,32.91,37.39,12.47,0,0,1623.8236

6,01:15-01:30,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,18.5536,32,28.07,32.91,37.39,12.47,0,0,1623.8236

7,01:30-01:45,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,24.0835,24.0835,28.07,32.91,37.39,12.47,0,0,1621.437

8,01:45-02:00,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,24.0835,24.0835,28.07,32.91,37.39,12.47,0,0,1621.437

9,02:00-02:15,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,24.0835,24.0835,28.07,32.91,37.39,12.47,0,0,1621.437

10,02:15-02:30,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,24.0835,24.0835,28.07,32.91,37.39,12.47,0,0,1621.437

11,02:30-02:45,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,32.91,37.39,12.47,0,0,1627.0841999999998

12,02:45-03:00,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.68,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,32.91,37.39,12.47,0,0,1627.0841999999998

13,03:00-03:15,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.63,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5741999999998

14,03:15-03:30,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.63,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5741999999998

15,03:30-03:45,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.63,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5741999999998

16,03:45-04:00,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.63,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5741999999998

17,04:00-04:15,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.58,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5241999999998

18,04:15-04:30,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.58,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5241999999998

19,04:30-04:45,0,0,12.47,48.4,0,0,96.79,24.2,24.74,37.39,179.67,62.08,8.71,59.89,0.58,96.79,84.38,0,67.75,164.78,32.37,0,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,26.9071,26.9071,28.07,0,37.39,12.47,0,0,1580.5241999999998

