Time,Block,NR/2024/21183/A/25948,NR/01072024/31072024/R2,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/2024/21159/A/25686,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21160/A/25683,NR/2024/21144/A/25689,NR/2024/21062/A/25602,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21186/A/25911,NR/2024/21113/A/25900,NR/2024/21199/A/25667,NR/2024/21146/A/25678,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21150/A/25676,NR/2024/21108/A/25937,NR/2024/20688/A/25862,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/2024/21148/A/25677,NR/2024/21158/A/25688,NR/2024/21075/A/25957,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21099/A/25651,NR/2024/21210/A/25648,NR/2024/21152/A/25624,NR/2024/21103/A/25940,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/20966/A/25625,NR/30092023/31122025/SH-07,NR/2024/21376/A/25871,NR/2024/21238/A/25958,NR/2024/21156/A/25674,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21141/A/25650,NR/2024/20930/A/25842,NR/2024/21403/C,NR/2024/21096/A/25941,NR/2024/21153/A/25672,NR/2024/20573/A/25881,NR/2024/21089/A/25901,NR/2024/21023/A/25668,NR/2024/21321/A/25496,NR/2024/21243/A/25665,NR/2024/20711/A/25874,NR/2024/21142/A/25649,NR/2024/21087/A/25861,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21173/A/25860,NR/2024/21402/C,NR/2024/19779/A/25658,NR/2024/21072/A/25902,NR/2024/20877/A/25912,NR/2024/20574/A/25883,NR/2024/21339/A/25645,NR/2024/21076/A/25947,NR/2024/21227/A/25939,NR/2024/21104/A/25938,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
,,MANIKARAN,PTC,TPTCL,TPTCL,MHIL,MEJA,BMDRC,DTCP,PTC,NDMC,NVVNL,NVVNL,INSTINCT,BAL184,DELHI,BAL234,APPCPL,GMRETL,INSTINCT,PUNJAB,BAL224,MSSH,MANIKARAN,APPCPL,TPTCL,TPTCL,IEXL,APPCPL,INSTINCT,IEXL,BAWANA_GAS,TPDDL,MANIKARAN,UHL,AEL,TPTCL,AEL,NVVNL,APPCPL,JHPL-DL,PTC,NVVNL,INSTINCT,DIAPL,BRPL,TPDDL,TPTCL,GMRETL,NDMC,TPDDL,GMRETL,NVVNL,ITCLH,NVVNL,NVVNL,PTC,TPTCL,MANIKARAN,APPCPL,APPCPL,SECI_Trader,SECI_Trader,Total

,,MP,NA,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MP,NA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MANIPUR,RAJASTHAN,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,ARUNACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,DELHI,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ODISHA,NA,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NAGALAND,TAMIL NADU,NA,NA,
,,BLAPOWER_MP,SEILP2,JITPL,MPL,SHPPBPL,MEJA,SHPPBPL,SHPPBPL,SEILP2,JITPL,JP BINA,JPL-2,JPL_DHULE,SHPPBPL,MSEB_Beneficiary,SHPPBPL,Manipur_Ben,RUVNL,JPL_DHULE,BAWANA_GAS,SHPPBPL,SHPPBPL,GOA_Beneficiary,Arunachal_Ben,ACBIL,SIMHAPURI,NHCPL_HP,UTTARAKHAND,JPL,A_A_Energy_MH_Bio,BAWANA_GAS,JHAJJAR,MMS STEEL TN,SHPPBPL,APL_Raigarh TPP,TPC MSEB,APL_Raigarh TPP,SORANG_HEP,KSEB,SHPPBPL,HP,RKM_POWER,JPL,GBHHPL,DADRT2,JPL-2,HP-GOVT,GBHHPL,SKS Raigarh,CHANJUII,GMRKEL (STU),KAMENG,ITCWIND,RKM_POWER,JPNIGRIE_JNSTPP,HP,JITPL,AEML,Nagaland_Ben,TANGEDCO,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,TPDDL,MHIL,DELHI,BMDRC,DTCP,BRPL,NDMC,TPDDL,NDMC,BRPL,BAL184,TPDDL,BAL234,BRPL,BYPL,BRPL,PUNJAB,BAL224,MSSH,BRPL,BRPL,BRPL,BRPL,MES (Delhi),BYPL,BRPL,MES (Delhi),HARYANA,TPDDL,BRPL,UHL,BRPL,BYPL,BRPL,TPDDL,BYPL,JHPL-DL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,ITCLH,NDMC,TPDDL,BYPL,BRPL,BYPL,BYPL,BYPL,TPDDL,BYPL,
,,West-North,South-West-North,East-North,East-North,North-North,North-North,North-North,North-North,South-East-North,East-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,East-North,North East-East-North,South-West-North,West-North,West-North,North-North,East-North,West-North,North East-East-North,South-West-North,North-North,North-North,
1,00:00-00:15,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,32.000000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,32.000000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.630000,26.290000,0.000000,24.100000,0.000000,90.610000,12.190000,64.660000,0,0,2309.45

2,00:15-00:30,18.020000,20.480000,81.930000,0.000000,0.880000,0.000000,0.970000,0.480000,0.000000,10.550000,48.200000,26.290000,0.000000,0.360000,0.000000,0.880000,24.020000,66.690000,61.450000,32.000000,0.520000,0.670000,11.710000,32.770000,20.480000,40.970000,1.930000,84.030000,81.930000,4.820000,32.000000,240.980000,2.890000,0.610000,163.860000,47.670000,0.000000,27.950000,308.450000,1.590000,72.290000,26.290000,0.000000,6.750000,134.950000,96.390000,40.970000,20.720000,8.760000,0.000000,20.720000,164.100000,0.630000,26.290000,0.000000,24.100000,0.000000,90.610000,12.190000,64.660000,0,0,2309.45
