Time,Block,NR/2023/11203/A,NR/2023/14117/F,NR/2023/13983/F,WR/2023/17003/C,NR/2023/13283/A,NR/2023/11521/A,NR/2023/11205/A,NR/2023/14115/F,NR/2023/11470/A,NR/2023/14606/D,NR/2023/14601/D,NR/2023/11524/A,NR/2023/13859/A,NR/2023/13704/A,NR/2023/11328/A,NR/2023/13858/A,NR/2023/14629/C,NR/2023/14113/F,NR/2023/11654/A,NR/2023/14121/F,NR/2023/11315/A,NR/2023/13573/A,NR/2023/13284/A,NR/2023/14633/C,NR/2023/13983/F/II,NR/2023/11739/A,NR/2023/13283/A/II,NR/2023/11458/A,NR/2023/14120/F,NR/2023/14616/C,NR/2023/13573/A/II,NR/2023/14114/F,NR/2023/11892/A,NR/2023/12646/A,NR/2023/14118/F,NR/2023/14605/D,NR/2023/14116/F,NR/2023/11697/A,NR/2023/14600/D,NR/2023/14119/F,NR/2023/14187/F,NR/2023/11325/A,NR/2023/14136/F,NR/2023/11264/A,NR/2023/14604/D,NR/2023/13704/A/II,NR/2023/11204/A,NR/2023/14602/D,NR/2023/14625/C,NR/2023/11469/A,NR/2023/11954/A,Total
,,KEIPL,SHPPBPL,ITCLH,IEXL,APPCPL,PTC,KEIPL,SHPPBPL,NVVNL,KEIPL,NVVNL,PTC,MANIKARAN,HPXL,APPCPL,MANIKARAN,TS1PL_BKN,SHPPBPL,TPTCL,SHPPBPL,GMRETL,NVVNL,APPCPL,TS1PL_BKN,ITCLH,NVVNL,APPCPL,STATKRAFT,SHPPBPL,GBHHPL,NVVNL,SHPPBPL,TPTCL,MANIKARAN,SHPPBPL,KEIPL,SHPPBPL,APPCPL,NVVNL,SHPPBPL,GBHHPL,APPCPL,SJVNL,TPTCL,TS1PL_BKN,HPXL,KEIPL,TS1PL_BKN,IEXL,NVVNL,KEIPL,Total

,,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,GOA,NA,KERALA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,UTTARAKHAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MP,GOA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,NA,NA,MAHARASHTRA,KERALA,NA,KARNATAKA,NA,MEGHALAYA,
,,Meghalaya_Ben,SHPPBPL,ITCWIND,BYPL,GOA_Beneficiary,JPNIGRIE_JNSTPP,KSEB,SHPPBPL,KAMENG,LAPL-UP,SOLAPUR_SOLAR,JPL-2,HP,B_S_ISPAT_MH,UTTARAKHAND,HP,TS1PL_BKN,SHPPBPL,JPL-2,SHPPBPL,Meghalaya_Ben,SKS Raigarh,HP,TS1PL_BKN,ITCWIND,JP BINA,GOA_Beneficiary,TANGEDCO,SHPPBPL,GBHHPL,SKS Raigarh,SHPPBPL,TPC MSEB,TANGEDCO,SHPPBPL,LMEL MSEB,SHPPBPL,HP,KAMENG,SHPPBPL,GBHHPL,Meghalaya_Ben,IPCL_WB,KWHEP,TS1PL_BKN,B_S_ISPAT_MH,KSEB,TS1PL_BKN,NSLSUGAR,JPNIGRIE_JNSTPP,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BMDRC,ITCLH,AMNSIL,BRPL,TPDDL,BRPL,BAL234,BRPL,BYPL,MES (Delhi),TPDDL,BRPL,NDMC,BYPL,BRPL,BYPL,BAL184,BRPL,UHL,BYPL,NDMC,BRPL,BRPL,ITCLH,BRPL,BRPL,BYPL,MHIL,DIAPL,NDMC,BAL224,BYPL,BRPL,MAX-HPTL,BYPL,AISHER,BYPL,TPDDL,JHPL-DL,DIAPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,BYPL,MES (Delhi),BRPL,BYPL,
,,North East-East-North,North-North,South-East-North,North-East-West,West-East-North,West-North,South-East-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,West-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-East-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,South-East-North,North-North,South-West-North,West-North,North East-East-North,
1,00:00-00:15,62.990000,0.930000,0.870000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.65

2,00:15-00:30,62.990000,0.930000,0.870000,50.000000,0.950000,48.270000,231.800000,0.950000,21.240000,38.620000,0,193.080000,178.120000,0.260000,48.270000,77.230000,0,0.380000,257.760000,0.610000,22.200000,27.830000,64.870000,0,0.000000,28.900000,23.190000,98.470000,0.610000,0.970000,1.130000,0.520000,66.520000,23.100000,0.870000,10.140000,0.870000,27.800000,193.080000,1.010000,3.860000,24.140000,0.000000,21.530000,0,6.500000,83.020000,0,4.830000,84.940000,36.420000,2069.65
