Column1,Block,NR/2025/29985/A/87102,NR/2025/30334/A/86927,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/2025/27978/A/87459,GNA/NR/2025/07/01/2236,NR/2025/30105/A/87388,NR/2025/26975/A/87405,NR/2025/29628/A/87399,GNA/NR/2025/07/01/1192,NR/2025/29915/A/86987,GNA/NR/2025/07/01/8154,NR/2025/31113/C,NR/2025/29992/A/87060,NR/2025/31123/C,NR/2025/31145/C,NR/2025/31124/C,NR/2025/31203/C,NR/2025/30101/A/87455,NR/2025/31092/C,GNA/NR/2025/07/01/8139,NR/2025/30086/A/87389,NR/2025/31120/C,NR/2025/30822/A/87101,NR/2025/30084/A/87390,NR/2025/31122/C,NR/2025/29910/A/87395,NR/2025/30217/A/87386,NR/2025/27970/A/87362,NR/2025/29352/A/87106,NR/2025/31161/C,NR/2025/27968/A/87361,NR/2025/31162/C,NR/2025/31183/C,NR/2025/31180/C,NR/2025/29353/A/87104,SR/2025/18387/C,NR/2025/31177/C,NR/2025/31183/C/Alternate/1,NR/2025/27964/A/87360,NR/2025/27963/A/87359,NR/2025/31193/C,NR/2025/28725/A/87357,NR/2025/29439/A/87031,NR/2025/31190/C,NR/2025/31194/C,NR/2025/30191/A/86932,NR/2025/31192/C,NR/2025/31195/C,NR/2025/31070/C,NR/2025/30082/A/87427,NR/2025/30067/A/87522,NR/2025/30121/A/86931,NR/2025/30492/A/87083,NR/2025/30083/A/87391,NR/2025/29167/A/86988,NR/2025/29440/A/86985,NR/2025/27962/A/87358,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,NR/2025/31191/C,NR/2025/31130/C,NR/2025/31201/C,Total
,,BRPL,IEXL,NDMC,APPCPL,NVVNL,PowerPulse,APPCPL,APPCPL,APPCPL,PTC,TPTCL,MANIKARAN,HPXL,BYPL,PowerPulse,ITCLH,PowerPulse,IEXL,NVVNL,BYPL,PowerPulse,APPCPL,PowerPulse,BRPL,APPCPL,PowerPulse,APPCPL,APPCPL,PowerPulse,PTC,APPCPL,PowerPulse,APPCPL,NVVNL,NVVNL,PTC,IEXL,NVVNL,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,IVPL_Trader,APPCPL,APPCPL,IEXL,APPCPL,APPCPL,IEXL,HPXL,MANIKARAN,IEXL,DIAPL,APPCPL,TPTCL,ITCLH,PowerPulse,PowerPulse,APPCPL,PUNJAB,DELHI,BAWANA_GAS,SECI_Trader,MES_Delhi,GMRETL,GMRETL,
,,NA,NA,NA,GOA_State,NA,NA,NA,Manipur_State,MSEB_State,NA,UTTARPRADESH_STATE,MSEB_State,NA,KERALA_State,NA,ANDHRA_PRADESH_STATE,NA,NA,MP_State,KERALA_State,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,GoHP_Chamera1_STATE,MSEB_State,NA,KERALA_State,NA,MP_State,GoHP_NJPC_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,HIMACHAL_STATE,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,GOA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,
,,TS1PL_BKN,TPSL_BKN2,JPL2,GOA_Beneficiary,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,JIPL,Manipur_Ben,AEML,MEENAKSHI,PPGCL,AEML,SKS_Raigarh,KSEB,APL_Raigarh_TPP,ITCWIND,APL_Raipur_TPP,SINGOLI,JP_BINA,KSEB,APL_Raipur_TPP,RKM_POWER,MAHAN_ENERGEN,DADRT2,RKM_POWER,MAHAN_ENERGEN,KSEB,TRN_ENERGY,APL_Raigarh_TPP,GoHP_Chamera1,AEML,APL_Raigarh_TPP,KSEB,Kameng,JP_BINA,GoHP_NJPC,BYPL,JPNIGRIE_JNSTPP,Kameng,MAHAN_ENERGEN,MAHAN_ENERGEN,JIPL,MAHAN_ENERGEN,TPC_MSEB,SKS_Raigarh,TRN_ENERGY,IND_BHARAT,RKM_POWER,RKM_POWER,IND_BHARAT,SKS_Raigarh,MBMP,PCBLTNLTD_UNIT2,GBHHPL,SKS_Raigarh,TPC_MSEB,ITCWIND,APL_Raipur_TPP,APL_Raipur_TPP,GOA_Beneficiary,BAWANA_GAS,CHANJUII,BAWANA_GAS,APSEPL_FTG,NTPCREL_PSS2_KPS2_S,JNEPL_BKN2,JNEPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,NDMC,BRPL,TPDDL,BRPL,NDMC,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,ITCLH,TPDDL,BYPL,TPDDL,BYPL,BRPL,NDMC,BRPL,BRPL,NDMC,TPDDL,BYPL,NDMC,TPDDL,BRPL,BYPL,TPDDL,BYPL,TPDDL,TPDDL,BRPL,TANGEDCO,TPDDL,TPDDL,TPDDL,TPDDL,NDMC,BRPL,BYPL,NDMC,NDMC,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,MES_Delhi,DIAPL,NDMC,BYPL,ITCLH,TPDDL,BRPL,BRPL,PUNJAB,TPDDL,HARYANA,TPDDL,MES_Delhi,DTCP,BLKMH,
,,North-North,North-North,West-North,West-North,West-North,West-North,East-North,North East-East-North,West-North,South-East-North,North-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North East-East-North,West-North,North-North,North-West-South,West-North,North East-East-West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,East-North,West-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.91,96.18,224.82,15.24,18,17.3,0,0,0,0,0,2420.66

2,00:15-00:30,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.91,96.18,224.82,15.24,18,17.3,0,0,0,0,0,2420.66

