Time,Block,NR/2023/18183/A/2861,NR/2024/18284/C,NR/2024/18289/C,NR/2023/18074/A/2715,NR/2023/18204/A/2824,WR/2023/20914/A/2858,NR/2024/18286/C,WR/2023/20937/A/2860,Total
,,MANIKARAN,HPXL,SJVNL,ITCLH,IEXL,APPCPL,NVVNL,MANIKARAN,Total

,,DELHI,MP,UTTAR PRADESH,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,NA,DELHI,
,,BRPL,MSPIL,BCMLB001,ITCWIND,SNJSUGARLTDAP,BRPL,SOLAPUR_SOLAR,BRPL,
,,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,GOA,DELHI,GOA,
,,HP,NDMC,NDMC,ITCLH,MES (Delhi),GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,North-North,West-North,North-North,South-West-North,South-East-North,North-West,West-North,North-West,
1,00:00-00:15,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

2,00:15-00:30,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

3,00:30-00:45,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

4,00:45-01:00,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

5,01:00-01:15,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

6,01:15-01:30,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

7,01:30-01:45,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

8,01:45-02:00,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

9,02:00-02:15,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

10,02:15-02:30,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

11,02:30-02:45,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

12,02:45-03:00,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

13,03:00-03:15,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

14,03:15-03:30,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

15,03:30-03:45,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

16,03:45-04:00,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

17,04:00-04:15,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

18,04:15-04:30,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

19,04:30-04:45,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

20,04:45-05:00,0.000000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,15.74

21,05:00-05:15,0.000000,9.600000,0.000000,0.430000,5.760000,0.000000,0,0.000000,15.79

22,05:15-05:30,0.000000,9.600000,0.000000,0.430000,5.760000,0.000000,0,0.000000,15.79

23,05:30-05:45,0.000000,9.600000,0.000000,0.430000,5.760000,0.000000,0,0.000000,15.79

24,05:45-06:00,0.000000,9.600000,0.000000,0.430000,5.760000,0.000000,0,0.000000,15.79

25,06:00-06:15,158.480000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,174.22

26,06:15-06:30,158.480000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,174.22

27,06:30-06:45,158.480000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,174.22

28,06:45-07:00,158.480000,9.600000,0.000000,0.380000,5.760000,0.000000,0,0.000000,174.22

29,07:00-07:15,158.480000,9.600000,0.000000,0.530000,5.760000,0.000000,0,0.000000,174.37

30,07:15-07:30,158.480000,9.600000,0.000000,0.530000,5.760000,0.000000,0,0.000000,174.37

31,07:30-07:45,158.480000,9.600000,0.000000,0.530000,5.760000,0.000000,0,0.000000,174.37

32,07:45:08:00,158.480000,9.600000,0.000000,0.530000,5.760000,0.000000,0.65,0.000000,175.02

33,08:00-08:15,158.480000,9.600000,0.000000,0.860000,5.760000,0.000000,1.13,0.000000,175.83

34,08:15-08:30,158.480000,9.600000,0.000000,0.860000,5.760000,0.000000,1.76,0.000000,176.46

35,08:30-08:45,158.480000,9.600000,0.000000,0.860000,5.760000,0.000000,1.59,0.000000,176.29

36,08:45:09:00,158.480000,9.600000,0.000000,0.860000,5.760000,0.000000,1.25,0.000000,175.95

37,09:00:09:15,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,1.26,0.000000,17.48

38,09:15-09:30,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,1.27,0.000000,17.49

39,09:30-09:45,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,1.33,0.000000,17.55

40,09:45-10:00,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,2.13,0.000000,18.35

41,10:00-10:15,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,1.74,0.000000,17.96

42,10:15-10:30,0.000000,9.600000,0.000000,0.860000,5.760000,0.000000,2.54,0.000000,18.76

