Column1,Block,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,NR/2025/24800/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/02/1250,WR/2024/25501/A/48879,NR/2025/24799/C,NR/2024/24566/A/48602,NR/2024/24507/A/48855,NR/2024/24418/A/48601,NR/2025/24791/C,NR/2025/24798/C,NR/2025/24792/C,NR/2024/24435/A/48610,NR/2025/24793/C,NER/2024/2820/A/48876,NR/2024/24508/A/48856,NR/2024/24434/A/48611,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,Total
,,HPXL,NDMC,PUNJAB,IEXL,BAWANA_GAS,SJVNL,DELHI,NDMC,IEXL,HPXL,IEXL,PXIL,NDMC,NDMC,TPTCL,IEXL,APPCPL,SJVNL,IEXL,NVVNL,ITCLH,TPDDL,SJVNL,NVVNL,IEXL,NVVNL,APPCPL,NVVNL,IEXL,MANIKARAN,APPCPL,
,,NA,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,MP_State,NA,ODISHA_STATE,NA,NA,NA,DELHI_UT,NA,DELHI_UT,UTTARPRADESH_STATE,TELANGANA_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,KARNATAKA_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,
,,JPNIGRIE_JNSTPP,RKM_POWER,BAWANA_GAS,JPNIGRIE_JNSTPP,BAWANA_GAS,RSRPL_BKN,CHANJUII,RKM_POWER,JP_BINA,SKS_Raigarh,NBVLIPP,JPNIGRIE_JNSTPP,SKS_Raigarh,JPL2,BYPL,SKS_Raigarh,BRPL,BCMLUH,NSLKSLWPRTY,JIPL,ITCWIND,JHAJJAR,TPSL_BKN2,JIPL,NSLSUGARALAND,TRN_ENERGY,BYPL,TRN_ENERGY,TESPL_BKN2,BRPL,BYPL,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,
,,BRPL,NDMC,PUNJAB,BRPL,HARYANA,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,TPC_MSEB,BRPL,GOA_Beneficiary,NDMC,MES_Delhi,NDMC,ITCLH,TPDDL,NDMC,NDMC,MES_Delhi,NDMC,Manipur_Ben,NDMC,MES_Delhi,AEML,AEML,
,,West-North,West-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,North-West,West-North,North-West,North-North,South-West-North,East-North,South-West-North,North-North,North-North,East-North,South-West-North,West-North,North-East-North East,West-North,North-North,North-West,North-West,
1,00:00-00:15,47.8,25.81,0,26.77,0,0,1.46,25.81,47.8,19.12,20.07,28.68,8.6,25.81,0,47.8,0,0,5.74,17.21,0.38,0,0,0,9.56,0,0,8.69,0,0,0,367.10999999999996

2,00:15-00:30,47.8,25.81,0,26.77,0,0,1.46,25.81,47.8,19.12,20.07,28.68,8.6,25.81,0,47.8,0,0,5.74,17.21,0.38,0,0,0,9.56,0,0,8.69,0,0,0,367.10999999999996

