Column1,Block,GNARE/NR/2024/12/20/3668,WR/2025/27369/A/63767,NR/2025/25794/A/63653,WR/2025/27361/A/63670,NR/2025/25792/A/63654,WR/2025/27350/A/63383,NR/2025/25795/A/63652,NR/2025/25924/A/63418,NR/2025/25791/A/63655,NR/2025/25790/A/63656,NR/2025/25951/C,NR/2025/25752/A/63233,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/4565,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,Total
,,SECI_Trader,MANIKARAN,APPCPL,APPCPL,APPCPL,KEIPL,APPCPL,DIAPL,APPCPL,APPCPL,TPDDL,IEXL,IVPL_Trader,IEXL,PXIL,BAWANA_GAS,HPXL,DELHI,IEXL,IEXL,IEXL,NDMC,IEXL,PUNJAB,IEXL,APPCPL,
,,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,NA,DELHI_UT,SIKKIM_STATE,UTTARPRADESH_STATE,DELHI_UT,CSEB_State,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,DELHI_UT,
,,APSEPL_FTG,BYPL,RKM_POWER,BYPL,RKM_POWER,BYPL,TRN_ENERGY,GBHHPL,JIPL,SKS_Raigarh,JHAJJAR,TPSL_BKN2,BYPL,MEYONGCHU_HEP,LAPL_UP,BAWANA_GAS,MSPLTD,CHANJUII,LLHEP1234,Kalez_Khola_HEP,KGEPL_HP,JPL2,RHPPL_HP,BAWANA_GAS,RCHEP,BYPL,
,,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,KERALA_State,
,,TPDDL,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,NDMC,DIAPL,NDMC,NDMC,TPDDL,MES_Delhi,TPC_MSEB,BRPL,BRPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,PUNJAB,BRPL,KSEB,
,,North-North,North-West,West-North,North-West,West-North,North-West,West-North,North-North,East-North,West-North,North-North,North-North,North-West,East-North,North-North,North-North,West-North,North-North,East-North,East-North,North-North,West-North,North-North,North-North,East-North,North-West-South,
1,00:00-00:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,0,9.62,6.73,9.62,2.89,9.62,36.58,1.92,32,2.89,52.5,763.63

2,00:15-00:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,0,9.62,6.73,9.62,2.89,9.62,36.58,1.92,32,2.89,52.5,763.63

3,00:30-00:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.63

4,00:45-01:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.63

5,01:00-01:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7.09,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.99

6,01:15-01:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7.09,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.99

7,01:30-01:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7.09,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.99

8,01:45-02:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7.09,9.62,2.89,9.62,36.58,1.92,27,2.89,52.5,785.99

9,02:00-02:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.4

10,02:15-02:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.4

11,02:30-02:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.4

12,02:45-03:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,7,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.4

13,03:00-03:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.91,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.31

14,03:15-03:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.91,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.31

15,03:30-03:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.91,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.31

16,03:45-04:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.91,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.31

17,04:00-04:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.81,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.2099999999999

18,04:15-04:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.81,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.2099999999999

19,04:30-04:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.81,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.2099999999999

20,04:45-05:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.81,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.2099999999999

21,05:00-05:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.13

22,05:15-05:30,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.13

23,05:30-05:45,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.13

24,05:45-06:00,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.73,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.13

25,06:00-06:15,0,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.63,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.03

26,06:15-06:30,0.39,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,27,9.62,6.63,9.62,2.89,9.62,36.58,1.92,27,2.89,0,733.42

27,06:30-06:45,0.16,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,30,9.62,6.63,9.62,2.89,9.62,36.58,1.92,27,2.89,0,736.1899999999999

28,06:45-07:00,1.42,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,194.42,0,0,2.89,48.12,30,9.62,6.63,9.62,2.89,9.62,36.58,1.92,27,2.89,0,737.4499999999999

29,07:00-07:15,4.5,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,223.3,0,0,2.89,48.12,30,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,769.3600000000001

30,07:15-07:30,8.56,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,223.3,0,0,2.89,48.12,30,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,773.4200000000001

31,07:30-07:45,14.02,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,0,0,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,552.49

32,07:45-08:00,21.06,48.12,32.81,48.12,32.81,144.38,10.93,3.85,21.88,10.93,67.38,0,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,626.91

33,08:00-08:15,28.97,48.12,32.81,48.12,32.81,0,10.93,3.85,21.88,10.93,67.38,3.85,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,494.29

34,08:15-08:30,36.95,48.12,32.81,48.12,32.81,0,10.93,3.85,21.88,10.93,67.38,3.85,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,502.27

35,08:30-08:45,45.34,48.12,32.81,48.12,32.81,0,10.93,3.85,21.88,10.93,115.5,3.85,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,558.78

36,08:45-09:00,53.61,48.12,32.81,48.12,32.81,0,10.93,3.85,21.88,10.93,115.5,3.85,0,2.89,48.12,26.91,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,567.05

37,09:00-09:15,61.75,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,115.5,6.74,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,579.06

38,09:15-09:30,69.32,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,144.38,6.74,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,615.51

39,09:30-09:45,76.49,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,144.38,6.74,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,622.6800000000001

40,09:45-10:00,83.17,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,211.75,6.74,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,696.7299999999999

41,10:00-10:15,89.07,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,211.75,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,704.55

42,10:15-10:30,94.8,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,729.53

43,10:30-10:45,99.28,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.01

44,10:45-11:00,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.73

45,11:00-11:15,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.73

46,11:15-11:30,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.73

47,11:30-11:45,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.73

48,11:45-12:00,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.93,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.73

49,12:00-12:15,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.7400000000001

50,12:15-12:30,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.7400000000001

51,12:30-12:45,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.7400000000001

52,12:45-13:00,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.7400000000001

53,13:00-13:15,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,231,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,734.7400000000001

54,13:15-13:30,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,221.38,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.12

55,13:30-13:45,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,221.38,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.12

56,13:45-14:00,100,48.12,32.81,48.12,32.81,0,10.93,4.81,21.88,10.93,221.38,8.66,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.12

57,14:00-14:15,100,48.12,32.81,48.12,32.81,0,10.93,5.78,21.88,10.93,221.38,7.7,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.1300000000001

58,14:15-14:30,100,48.12,32.81,48.12,32.81,0,10.93,5.78,21.88,10.93,221.38,7.7,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.1300000000001

59,14:30-14:45,100,48.12,32.81,48.12,32.81,0,10.93,5.78,21.88,10.93,221.38,7.7,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.1300000000001

60,14:45-15:00,100,48.12,32.81,48.12,32.81,0,10.93,5.78,21.88,10.93,221.38,7.7,0,2.89,48.12,26.94,9.62,6.58,9.62,2.89,9.62,36.58,1.92,27,2.89,0,725.1300000000001

