Time,Block,NR/2023/17905/A/927,NR/2023/17992/C,NR/2023/17901/A/984,NR/2023/16187/A,NR/2023/17064/A,WR/2023/20254/A/977,WR/2023/18560/A,WR/2023/20256/A/978,WR/2023/18560/A/II,NR/2023/17993/C,Total
,,IEXL,TPDDL,ITCLH,APPCPL,GMRETL,APPCPL,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,BSHP,CHANJUII,ITCWIND,BYPL,BYPL,BRPL,BYPL,BRPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,HIMACHAL PRADESH,RAJASTHAN,GOA,MAHARASHTRA,GOA,MAHARASHTRA,DELHI,
,,MES (Delhi),TPDDL,ITCLH,HP,RUVNL,GOA_Beneficiary,AEML,GOA_Beneficiary,AEML,MES (Delhi),
,,North-North,North-North,South-West-North,North-North,North-North,North-West,North-East-West,North-West,North-West,West-North,
1,00:00-00:15,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

2,00:15-00:30,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

3,00:30-00:45,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

4,00:45-01:00,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

5,01:00-01:15,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

6,01:15-01:30,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

7,01:30-01:45,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

8,01:45-02:00,1.930000,3.410000,0.480000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.9

9,02:00-02:15,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

10,02:15-02:30,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

11,02:30-02:45,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

12,02:45-03:00,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

13,03:00-03:15,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

14,03:15-03:30,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

15,03:30-03:45,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

16,03:45-04:00,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

17,04:00-04:15,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

18,04:15-04:30,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

19,04:30-04:45,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

20,04:45-05:00,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

21,05:00-05:15,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

22,05:15-05:30,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

23,05:30-05:45,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

24,05:45-06:00,1.930000,3.410000,0.430000,17.080000,0.000000,0.000000,0.000000,0.000000,100.000000,0,122.85

25,06:00-06:15,1.930000,3.410000,0.430000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0,205.77

26,06:15-06:30,1.930000,3.410000,0.430000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0,205.77

27,06:30-06:45,1.930000,3.410000,0.430000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0,205.77

28,06:45-07:00,1.930000,3.410000,0.430000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0,205.77

29,07:00-07:15,1.930000,3.320000,0.580000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0,205.83

30,07:15-07:30,1.930000,3.320000,0.580000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0.36,206.19

31,07:30-07:45,1.930000,3.320000,0.580000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,0.78,206.61

32,07:45:08:00,1.930000,3.320000,0.580000,0.000000,100.000000,0.000000,100.000000,0.000000,0.000000,1.12,206.95

33,08:00-08:15,1.930000,3.320000,0.970000,0.000000,50.000000,0.000000,100.000000,0.000000,0.000000,1.44,157.66

34,08:15-08:30,1.930000,3.320000,0.970000,0.000000,50.000000,0.000000,100.000000,0.000000,0.000000,2.24,158.46

35,08:30-08:45,1.930000,3.320000,0.970000,0.000000,50.000000,0.000000,100.000000,0.000000,0.000000,2.88,159.1

