Column1,Block,NR/2024/24211/C,NR/2024/24206/C,NR/2024/24071/A/45118,NR/2024/24088/A/45115,NR/2024/24052/A/45201,NR/2024/24051/A/45119,NR/2024/24060/A/45287,NR/2024/23952/A/45110,NR/2024/24146/A/45106,NR/2024/24097/A/45111,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/2024/24207/C,WR/2024/25054/A/45285,GNA/NR/2024/12/01/7739,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,Total
,,SJVNL,SJVNL,IEXL,IEXL,IEXL,IEXL,NVVNL,ITCLH,IEXL,IEXL,MANIKARAN,APPCPL,SJVNL,APPCPL,PTC,KSEB,DELHI,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,PTC,BAWANA_GAS,
,,NA,NA,NA,KARNATAKA_STATE,TELANGANA_State,TELANGANA_State,NA,ANDHRA_PRADESH_STATE,MP_State,KARNATAKA_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,DELHI_UT,
,,RSRPL_BKN,TPSL_BKN2,TESPL_BKN2,NSLSTUNGBHDRA,NSLKSLWPRTY,NSLKSLWPRTY,JITPL,ITCWIND,NSPLN_MP,NSLSUGARALAND,BRPL,BYPL,RENUKASUGARSATHANI,BRPL,BYPL,BYPL,CHANJUII,SKS_Raigarh,BAWANA_GAS,RKM_POWER,RKM_POWER,JPL2,TRN_ENERGY,BRPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,GOA_State,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,
,,NDMC,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,ITCLH,MES_Delhi,MES_Delhi,AEML,AEML,NDMC,GOA_Beneficiary,HP,KSEB,TPDDL,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,HP,HARYANA,
,,North-North,North-North,North-North,South-West-North,South-West-North,South-West-North,East-North,South-West-North,West-North,South-West-North,North-West,North-West,South-West-North,North-West,North-North,North-West-South,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0.96,2.89,0,17.31,0.43,5.77,7.69,0,0,0,0,31.71,150,1.92,8.66,0,25.97,25.97,25.97,8.66,95.13,0,409.04

2,00:15-00:30,0,0,0,0.96,2.89,0,17.31,0.43,5.77,7.69,0,0,0,0,31.71,150,1.92,8.66,0,25.97,25.97,25.97,8.66,95.13,0,409.04

3,00:30-00:45,0,0,0,0.96,2.89,0,17.31,0.43,5.77,7.69,0,0,0,0,31.71,150,1.92,8.66,0,25.97,25.97,25.97,8.66,95.13,0,409.04

