Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25516/A/57876,WR/2025/26427/A/57674,WR/2025/26582/A/57918,WR/2025/26499/A/57920,NR/2025/25159/A/57574,NR/2025/25513/A/57588,WR/2025/26426/A/57673,NR/2025/25599/C,NR/2025/25600/C,NR/2025/25517/A/57883,NR/2025/25518/A/57878,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/4651,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2025/03/01/6406,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/8036,Total
,,SECI_Trader,ABLWM1_AEROCITY,KEIPL,APPCPL,APPCPL,ITCLH,IEXL,KEIPL,SJVNL,SJVNL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,NDMC,PTC,NDMC,APPCPL,PTC,NDMC,APPCPL,NDMC,PUNJAB,BAWANA_GAS,APPCPL,DELHI,NDMC,TPTCL,NDMC,
,,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,
,,APSEPL_FTG,TCSPL_BKN2,BRPL,BRPL,BRPL,ITCWIND,TPDDL,BYPL,TPSL_BKN2,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,JIPL,BRPL,TRN_ENERGY,BYPL,BYPL,RKM_POWER,BYPL,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,BRPL,CHANJUII,JPL2,BYPL,RKM_POWER,
,,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,JK_and_LADAKH_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,KERALA_State,HIMACHAL_STATE,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,
,,TPDDL,ABLWM1_AEROCITY,CSEB_Beneficiary,CSEB_Beneficiary,AEML,ITCLH,JK_LADAKH,CSEB_Beneficiary,NDMC,NDMC,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,NDMC,HP,NDMC,KSEB,HP,NDMC,AEML,NDMC,PUNJAB,HARYANA,AEML,TPDDL,NDMC,TPC_MSEB,NDMC,
,,North-North,North-North,North-West,North-West,North-West,South-West-North,North-North,North-West,North-North,North-North,North-North,North-North,East-North,North-North,West-North,North-West-South,North-North,West-North,North-West,West-North,North-North,North-North,North-West,North-North,West-North,North-West,West-North,
1,00:00-00:15,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

2,00:15-00:30,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

3,00:30-00:45,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

4,00:45-01:00,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

5,01:00-01:15,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

6,01:15-01:30,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

7,01:30-01:45,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

8,01:45-02:00,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,200,55.49,23.04,0,5.76,0,0,42,4.22,23.04,0,23.04,831.0699999999999

9,02:00-02:15,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

10,02:15-02:30,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

11,02:30-02:45,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

12,02:45-03:00,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

13,03:00-03:15,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

14,03:15-03:30,0,0,48,48,0,0.43,0,167.57,0,0,0,0,17.28,166.48,6.72,0,55.49,23.04,0,5.76,0,0,42,4.14,23.04,0,23.04,630.9899999999999

