Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28903/C,NR/2025/29017/C,NR/2025/26565/A/80873,NR/2025/27167/A/80825,NR/2025/28952/C,NR/2025/29018/C,NR/2025/26445/A/80910,NR/2025/26566/A/80872,NR/2025/27727/A/80840,NR/2025/27168/A/80827,NR/2025/27100/A/80495,NR/2025/27725/A/80844,NR/2025/29012/C,NR/2025/27162/A/80848,NR/2025/27506/A/80379,NR/2025/28974/C,NR/2025/27281/A/80983,NR/2025/26975/A/80849,NR/2025/29014/C,NR/2025/28851/A/80519,NR/2025/26571/A/80871,NR/2025/27157/A/80472,NR/2025/26860/A/80771,NR/2025/27728/A/80841,NR/2025/26777/A/80465,NR/2025/27726/A/80842,NR/2025/27242/A/80811,NR/2025/26085/A/80367,NR/2025/26562/A/80874,NR/2025/27187/A/80846,NR/2025/28719/A/80477,NR/2025/26572/A/80870,NR/2025/26861/A/80869,NR/2025/27185/A/80847,NR/2025/29020/C,NR/2025/26952/A/80410,NR/2025/27499/A/80877,NR/2025/26785/A/80601,NR/2025/29008/C,NR/2025/29021/C,NR/2025/27782/A/80839,NR/2025/28986/C,NR/2025/28984/C,NR/2025/26889/A/80878,NR/2025/28849/A/80518,NR/2025/28985/C,NR/2025/27088/A/80894,NR/2025/27500/A/80382,NR/2025/29015/C,NR/2025/28873/A/80803,NR/2025/29024/C,NR/2025/29025/C,NR/2025/29022/C,NR/2025/29023/C,NR/2025/28899/C,NR/2025/28999/C,NR/2025/27356/A/80520,NR/2025/28774/A/80526,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/16/1239,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNARE/NR/2024/12/20/3668,Total
,,APPCPL,APPCPL,PTC,DELHI,IEXL,APPCPL,PowerPulse,PTC,BRPL,APPCPL,NVVNL,PowerPulse,APPCPL,PTC,IVPL_Trader,APPCPL,APPCPL,APPCPL,IEXL,PXIL,MANIKARAN,APPCPL,APPCPL,BRPL,PowerPulse,KEIPL,BRPL,APPCPL,INSTINCT,APPCPL,GMRETL,ITCLH,PowerPulse,APPCPL,DIAPL,PowerPulse,PowerPulse,APPCPL,APPCPL,PXIL,HPXL,IEXL,INSTINCT,APPCPL,APPCPL,PowerPulse,PowerPulse,HPXL,BRPL,PowerPulse,NVVNL,IEXL,APPCPL,DIAPL,APPCPL,NVVNL,NVVNL,NVVNL,MANIKARAN,TPDDL,BRPL,IEXL,MANIKARAN,KEIPL,APPCPL,APPCPL,NVVNL,HPXL,PUNJAB,INSTINCT,BAWANA_GAS,SIMHAPURI,NDMC,PowerPulse,PTC,SECI_Trader,
,,NA,CSEB_State,ODISHA_STATE,HIMACHAL_STATE,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,GoHP_Rampur_STATE,MSEB_State,NA,NA,CSEB_State,HIMACHAL_STATE,NA,CSEB_State,Manipur_State,NA,NA,NA,CSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,KERALA_State,HIMACHAL_STATE,NA,NA,KERALA_State,Manipur_State,NA,JK_and_LADAKH_UT,NA,NA,CSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,MSEB_State,NA,HIMACHAL_STATE,KERALA_State,NA,NA,NA,CSEB_State,NA,NA,NA,MP_State,CSEB_State,GOA_State,GOA_State,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,TELANGANA_State,NA,
,,DBPL,CSPDCL,NBVL_OTCL,CHANJUII,MBMP,TRN_ENERGY,MAHAN_ENERGEN,GoHP_Chamera1,JPL2,RKM_POWER,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,JPL2,GoHP_Rampur,TPC_MSEB,SKS_Raigarh,SKS_Raigarh,CSEB_Beneficiary,NHCPL_HP,MBMP,CSEB_Beneficiary,Manipur_Ben,RKM_POWER,RIHAND3,APL_Raigarh_TPP,CSEB_Beneficiary,JPL2,RKM_POWER,JPL2,RKM_POWER,GBHHPL,ITCWIND,APL_Raipur_TPP,KSEB,GBHHPL,APL_Raigarh_TPP,COASTGEN,KSEB,Manipur_Ben,MBMP,O2Z,MBMP,JPL2,CSEB_Beneficiary,TRN_ENERGY,APL_Raipur_TPP,APL_Raigarh_TPP,GRETAENERGY,DADRT2,MAHAN_ENERGEN,ILFS,A_A_Energy_MH_Bio,JPL2,GBHHPL,KSEB,ILFS,Kameng,SORANG_HEP,CSEB_Beneficiary,JHAJJAR,TS1PL_BKN,TPSL_BKN2,BLAPOWER_MP,CSPDCL,GOA_Beneficiary,GOA_Beneficiary,JHABUA_IPP,DBPL,BAWANA_GAS,SIMHAPURI,BAWANA_GAS,SIMHAPURI,JIPL,COASTGEN,NAVABHARAT,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,TPDDL,NDMC,NDMC,TPDDL,BRPL,BRPL,NDMC,TPDDL,TPDDL,NDMC,BRPL,BYPL,NDMC,NDMC,BYPL,MES_Delhi,BRPL,BYPL,BYPL,NDMC,BRPL,TPDDL,BYPL,BRPL,NDMC,BRPL,NDMC,BRPL,ITCLH,TPDDL,BYPL,DIAPL,TPDDL,BRPL,BYPL,BYPL,BRPL,BYPL,NDMC,BRPL,BYPL,NDMC,TPDDL,TPDDL,BYPL,BRPL,TPDDL,BRPL,MES_Delhi,NDMC,DIAPL,BYPL,BRPL,TPDDL,TPDDL,BYPL,TPDDL,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,HARYANA,BRPL,NDMC,BRPL,BRPL,TPDDL,
,,West-North,West-North,East-West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,South-West-North,North-North,West-North,South-West-North,South-West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,South-East-North,East-North,South-West-North,South-West-North,North-North,
1,00:00-00:15,48.37,11.92,24.18,13.7,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,25.23,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.68,145.11,19.35,10.64,0,193.48,19.35,0,0,8.71,0,0,0,8.79,0,0,5.8,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,0,48.37,29.2,0,62.88,0,2860.5499999999993

2,00:15-00:30,48.37,11.92,24.18,13.7,0,0,145.11,24.18,0,0,96.74,0,26.38,24.18,25.23,8.79,0,56.05,1.93,0,24.91,27.09,0,38.7,145.11,217.57,106.41,26.38,193.48,26.38,48.37,0.68,145.11,19.35,10.64,0,193.48,19.35,0,0,8.71,0,0,0,8.79,0,0,5.8,135.44,0,192.86,7.74,0,1.93,0,0,146.4,29.02,0,205.09,0,0,24.18,11.93,19.35,15.33,24.18,53.21,32,48.37,0,48.37,29.2,0,62.88,0,2860.5499999999993

