Time,Block,NR/2024/18759/A/10149,NR/2024/18806/A/10151,NR/2024/18807/A/10216,NR/2024/18821/C,Total
,,ITCLH,IEXL,DIAPL,NVVNL,Total

,,ANDHRA PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,
,,ITCWIND,NSLSUGARALAND,GBHHPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,
,,ITCLH,MES (Delhi),DIAPL,MES (Delhi),
,,South-West-North,South-East-North,North-North,West-North,
1,00:00-00:15,0.480000,9.660000,0.000000,0,10.14

2,00:15-00:30,0.480000,9.660000,0.000000,0,10.14

3,00:30-00:45,0.480000,9.660000,0.000000,0,10.14

4,00:45-01:00,0.480000,9.660000,0.000000,0,10.14

5,01:00-01:15,0.480000,9.660000,0.000000,0,10.14

6,01:15-01:30,0.480000,9.660000,0.000000,0,10.14

7,01:30-01:45,0.480000,9.660000,0.000000,0,10.14

8,01:45-02:00,0.480000,9.660000,0.000000,0,10.14

9,02:00-02:15,0.480000,9.660000,0.000000,0,10.14

10,02:15-02:30,0.480000,9.660000,0.000000,0,10.14

11,02:30-02:45,0.480000,9.660000,0.000000,0,10.14

12,02:45-03:00,0.480000,9.660000,0.000000,0,10.14

13,03:00-03:15,0.430000,9.660000,0.000000,0,10.09

14,03:15-03:30,0.430000,9.660000,0.000000,0,10.09

15,03:30-03:45,0.430000,9.660000,0.000000,0,10.09

16,03:45-04:00,0.430000,9.660000,0.000000,0,10.09

17,04:00-04:15,0.430000,9.660000,0.000000,0,10.09

18,04:15-04:30,0.430000,9.660000,0.000000,0,10.09

19,04:30-04:45,0.430000,9.660000,0.000000,0,10.09

20,04:45-05:00,0.430000,9.660000,0.000000,0,10.09

21,05:00-05:15,0.480000,9.660000,0.000000,0,10.14

22,05:15-05:30,0.480000,9.660000,0.000000,0,10.14

23,05:30-05:45,0.480000,9.660000,0.000000,0,10.14

24,05:45-06:00,0.480000,9.660000,0.000000,0,10.14

25,06:00-06:15,0.480000,9.660000,0.000000,0,10.14

26,06:15-06:30,0.480000,9.660000,0.000000,0,10.14

27,06:30-06:45,0.480000,9.660000,0.000000,0.14,10.28

28,06:45-07:00,0.480000,9.660000,0.000000,0.54,10.68

29,07:00-07:15,0.530000,9.660000,0.000000,0.9,11.09

30,07:15-07:30,0.530000,9.660000,0.000000,1.35,11.54

31,07:30-07:45,0.530000,9.660000,0.000000,1.89,12.08

32,07:45:08:00,0.530000,9.660000,0.000000,2.49,12.68

33,08:00-08:15,0.970000,9.660000,0.000000,3.05,13.68

34,08:15-08:30,0.970000,9.660000,0.000000,3.66,14.29

35,08:30-08:45,0.970000,9.660000,0.000000,4.26,14.89

36,08:45:09:00,0.970000,9.660000,0.000000,4.8,15.43

37,09:00:09:15,0.920000,9.660000,0.000000,5.44,16.02

38,09:15-09:30,0.920000,9.660000,0.000000,6,16.58

39,09:30-09:45,0.920000,9.660000,0.000000,6.47,17.05

40,09:45-10:00,0.920000,9.660000,0.000000,6.66,17.24

41,10:00-10:15,0.920000,9.660000,0.000000,6.76,17.34

42,10:15-10:30,0.920000,9.660000,0.000000,6.95,17.53

43,10:30-10:45,0.920000,9.660000,0.000000,7.24,17.82

44,10:45-11:00,0.920000,9.660000,0.000000,7.34,17.92

45,11:00-11:15,0.920000,9.660000,0.000000,7.63,18.21

46,11:15-11:30,0.920000,9.660000,0.000000,7.92,18.5

47,11:30-11:45,0.920000,9.660000,0.000000,8.31,18.89

48,11:45-12:00,0.920000,9.660000,0.000000,8.56,19.14

49,12:00-12:15,0.920000,9.660000,0.000000,8.74,19.32

50,12:15-12:30,0.920000,9.660000,0.000000,8.84,19.42

51,12:30-12:45,0.920000,9.660000,0.000000,8.98,19.56

52,12:45-13:00,0.920000,9.660000,0.000000,9.13,19.71

53,13:00-13:15,0.820000,9.660000,0.000000,9.23,19.71

54,13:15-13:30,0.820000,9.660000,0.000000,9.08,19.56

55,13:30-13:45,0.820000,9.660000,0.000000,8.93,19.41

56,13:45-14:00,0.820000,9.660000,0.000000,8.79,19.27

57,14:00-14:15,0.920000,9.660000,1.930000,8.5,21.01

58,14:15-14:30,0.920000,9.660000,1.930000,8.21,20.72

59,14:30-14:45,0.920000,9.660000,1.930000,7.92,20.43

60,14:45-15:00,0.920000,9.660000,1.930000,7.34,19.85

61,15:00-15:15,0.920000,9.660000,1.930000,6.57,19.08

62,15:15-15:30,0.920000,9.660000,1.930000,6.28,18.79

63,15:30-15:45,0.920000,9.660000,1.930000,5.99,18.5

64,15:45-16:00,0.920000,9.660000,1.930000,5.6,18.11

65,16:00-16:15,0.630000,9.660000,1.930000,5.21,17.43

66,16:15-16:30,0.630000,9.660000,1.930000,4.83,17.05

67,16:30-16:45,0.630000,9.660000,1.930000,4.35,16.57

68,16:45-17:00,0.630000,9.660000,1.930000,3.42,15.64

69,17:00-17:15,0.630000,9.660000,1.930000,1.98,14.2

70,17:15-17:30,0.630000,9.660000,1.930000,1.37,13.59

71,17:30-17:45,0.630000,9.660000,1.930000,0.73,12.95

72,17:45-18:00,0.630000,9.660000,1.930000,0.13,12.35

73,18:00-18:15,0.630000,9.660000,1.930000,0.17,12.39

74,18:15-18:30,0.630000,9.660000,1.930000,0,12.22

75,18:30-18:45,0.630000,9.660000,1.930000,0,12.22

76,18:45-19:00,0.630000,9.660000,1.930000,0,12.22

77,19:00-19:15,0.720000,9.660000,1.930000,0,12.31

78,19:15-19:30,0.720000,9.660000,1.930000,0,12.31

79,19:30-19:45,0.720000,9.660000,1.930000,0,12.31

80,19:45-20:00,0.720000,9.660000,1.930000,0,12.31

81,20:00-20:15,0.680000,9.660000,1.930000,0,12.27

82,20:15-20:30,0.680000,9.660000,1.930000,0,12.27

83,20:30-20:45,0.680000,9.660000,1.930000,0,12.27

84,20:45-21:00,0.680000,9.660000,1.930000,0,12.27

85,21:00-21:15,0.680000,9.660000,1.930000,0,12.27

86,21:15-21:30,0.680000,9.660000,1.930000,0,12.27

87,21:30-21:45,0.680000,9.660000,1.930000,0,12.27

88,21:45-22:00,0.680000,9.660000,1.930000,0,12.27

89,22:00-22:15,0.680000,9.660000,1.930000,0,12.27

90,22:15-22:30,0.680000,9.660000,1.930000,0,12.27

91,22:30-22:45,0.680000,9.660000,1.930000,0,12.27

92,22:45-23:00,0.680000,9.660000,1.930000,0,12.27

93,23:00-23:15,0.630000,9.660000,1.930000,0,12.22

94,23:15-23:30,0.630000,9.660000,1.930000,0,12.22

95,23:30-23:45,0.630000,9.660000,1.930000,0,12.22

96,23:45-24:00,0.630000,9.660000,1.930000,0,12.22

