Time,Block,NR/2023/11643/A,NR/2023/11642/A,NR/2023/12610/C,NR/2023/11963/F,NR/2023/10944/A,NR/2023/12606/C,NR/2023/11960/F,NR/2023/11862/F,NR/2023/12611/C,NR/2023/11956/F,NR/2023/10236/A,NR/2023/10613/A,NR/2023/11284/A,NR/2023/12604/C,NR/2023/11962/F,NR/2023/12612/C,NR/2023/11342/A,NR/2023/12600/C,NR/2023/11957/F,NR/2023/10223/A,NR/2023/11476/A,NR/2023/11330/A,NR/2023/11952/F,NR/2023/10344/A,NR/2023/12585/D,NR/2023/11947/F,NR/2023/11958/F,NR/2023/10487/A,NR/2023/10611/A,NR/2023/11961/F,NR/2023/11955/F,NR/2023/12579/D,NR/2023/11941/F,NR/2023/11959/F,NR/2023/10434/A,NR/2023/10229/A,ER/2023/7632/C,ER/2023/7627/C,NR/2023/12589/D,NR/2023/12598/C,NR/2023/12595/C,NR/2023/12587/D,Total
,,MANIKARAN,MANIKARAN,HPXL,SHPPBPL,APPCPL,IEXL,SHPPBPL,APPCPL,IEXL,SHPPBPL,NVVNL,APPCPL,STATKRAFT,GBHHPL,SHPPBPL,HPXL,IEXL,TPDDL,SHPPBPL,TPTCL,IEXL,APPCPL,KEIPL,BYPL,NVVNL,HPXL,SHPPBPL,TPTCL,APPCPL,SHPPBPL,SHPPBPL,NVVNL,NVVNL,SHPPBPL,NVVNL,NVVNL,HPXL,HPXL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,DELHI,DELHI,NA,NA,NA,NA,
,,HP,HP,Teesta_III,SHPPBPL,HP,BYPL,SHPPBPL,Manipur_Ben,MCCPL,SHPPBPL,ILFS,Nagaland_Ben,HP,GBHHPL,SHPPBPL,SIMHAPURI,NAVABHARAT,CHANJUII,SHPPBPL,JPL,JSPL_DCPP,HP,Meghalaya_Ben,Meghalaya_Ben,KAMENG,B_S_ISPAT_MH,SHPPBPL,APNRL,Arunachal_Ben,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,SKS Raigarh,SHPPBPL,SEIL,JPNIGRIE_JNSTPP,BRPL,BYPL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,UHL,BYPL,AMBASTL,MAX-HPTL,STT,BRPL,BAL224,BRPL,BYPL,BYPL,DIAPL,MHIL,BRPL,BRPL,TPDDL,BAL234,BRPL,BRPL,BRPL,BYPL,BYPL,TPDDL,NDMC,AISHER,TPDDL,BYPL,JHPL-DL,BAL184,MES (Delhi),NDMC,BMDRC,TPDDL,BRPL,VLSEZ,VLSEZ,BRPL,BRPL,BYPL,BYPL,
,,North-North,North-North,East-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-North,South-East-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,North East-East-North,North East-East-North,West-North,North-North,East-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,North-East,North-East,North-North,North-North,North-North,North-North,
1,00:00-00:15,13.000000,14.450000,270.690000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.770000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1260.36

2,00:15-00:30,13.000000,14.450000,249.490000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.770000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1239.16

3,00:30-00:45,13.000000,14.450000,222.520000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.770000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1212.19

4,00:45-01:00,13.000000,14.450000,177.250000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.770000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1166.92

5,01:00-01:15,13.000000,14.450000,138.720000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1128.3

6,01:15-01:30,13.000000,14.450000,90.550000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1080.13

7,01:30-01:45,13.000000,14.450000,47.200000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,1036.78

8,01:45-02:00,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,989.58

