Column1,Block,NR/01082024/31082024/jitpl,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22689/C,NR/2024/22690/C,NR/2024/22691/C,NR/2024/22669/C,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/2024/22623/A/32930,NR/2024/21943/A/33141,NR/2024/21918/A/33217,NR/2024/21954/A/33142,NR/2024/22014/A/32869,NR/2024/21940/A/33143,NR/2024/21961/A/33154,NR/2024/21658/A/32875,NR/2024/21938/A/33153,NR/2024/21983/A/32895,NR/2024/22279/A/32865,NR/2024/21974/A/33162,NR/2024/21956/A/33144,NR/2024/21971/A/33160,NR/2024/21814/A/33167,NR/2024/21933/A/32896,NR/2024/21860/A/33074,NR/2024/21966/A/32915,NR/2024/21968/A/33157,NR/2024/21970/A/33166,NR/2024/21911/A/33118,NR/2024/22498/A/33224,NR/2024/22010/A/33226,NR/2024/22042/A/32868,NR/01102023/14082046/L_NR_2021_16,NR/2024/22688/C,NR/2024/22535/A/32918,NR/01102023/02012046/L_NR_2021_17,NR/2024/22534/A/32919,Total
,,JITPL,DELHI,BAWANA_GAS,DELHI,MANIKARAN,NVVNL,NVVNL,NVVNL,TPDDL,APL_Raigarh_TPP,PUNJAB,INSTINCT,APPCPL,TPTCL,TPTCL,DELHI,DIAPL,APPCPL,MANIKARAN,APPCPL,IEXL,APPCPL,PTC,ITCLH,PTC,TPTCL,IEXL,NVVNL,APPCPL,NVVNL,NVVNL,TPTCL,TPDDL,INSTINCT,NVVNL,NVVNL,AEL,MANIKARAN,MANIKARAN,IEXL,SECI_Trader,SJVNL,SJVNL,SECI_Trader,SJVNL,
,,NA,MSEB_State,DELHI_UT,HIMACHAL_STATE,MP_State,NA,NA,NA,NA,NA,DELHI_UT,NA,Arunachal_State,NA,NA,NA,HIMACHAL_STATE,MSEB_State,MSEB_State,Manipur_State,HIMACHAL_STATE,UTTARAKHAND_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,GOA_State,MSEB_State,NA,NA,NA,NA,NA,
,,JITPL,MSEB_Beneficiary,BAWANA_GAS,CHANJUII,BLAPOWER_MP,SOLAPUR_SOLAR,SORANG_HEP,Kameng,JHAJJAR,APL_Raigarh_TPP,BAWANA_GAS,JPL2,Arunachal_Ben,SIMHAPURI,ACBIL,SKS_Raigarh,GBHHPL,AEML,AEML,Manipur_Ben,NHCPL_HP,UTTARAKHAND,HP,ITCWIND,HP,SIMHAPURI,NSLSUGAR,RKM_POWER,KSEB,RKM_POWER,JPNIGRIE_JNSTPP,ACBIL,JPL2,JPL2,JPL2,TRN_ENERGY,APL_Raigarh_TPP,BLAPOWER_MP,GOA_Beneficiary,A_A_Energy_MH_Bio,SBSRPC11PL_BKN,TPSL_BKN2,TPSL_BKN2,SBSRPC11PL_BKN,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,TPDDL,HARYANA,TPDDL,BRPL,MES_Delhi,TPDDL,TPDDL,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,NDMC,DIAPL,BRPL,BYPL,BRPL,MES_Delhi,BYPL,BRPL,ITCLH,BYPL,BRPL,MES_Delhi,NDMC,BYPL,NDMC,TPDDL,BRPL,TPDDL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,NDMC,NDMC,BYPL,NDMC,
,,East-North,West-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,North East-East-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,South-East-North,South-East-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,24.68,0,32,12.26,21.25,0,0,164.41,241.42,96.57,32,96.57,38.63,48.28,24.14,12.44,8.69,38.63,90.78,24.07,1.93,84.19,97.78,0.63,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,11.72,3.86,0,0,0,0,0,1532.8499999999995

2,00:15-00:30,24.68,0,32,12.26,21.25,0,0,164.41,241.42,96.57,32,96.57,38.63,48.28,24.14,12.44,8.69,38.63,90.78,24.07,1.93,84.19,97.78,0.63,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,11.72,3.86,0,0,0,0,0,1532.8499999999995

