Column1,Block,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33985/C,NR/2025/33954/C,NR/2025/33946/C,GNARE/SR/2025/08/20/5464,NR/2025/32535/A/98635,NR/2025/32599/A/98633,NR/2025/33469/A/98274,NR/2025/33947/C,NR/2025/33944/C,NR/2025/32534/A/98630,NR/2025/33633/A/98667,NR/2025/32532/A/98629,NR/2025/32532/A/98628,NR/2025/33632/A/98669,NR/2025/32534/A/98631,NR/2025/33637/A/98665,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/98634,NR/2025/33980/C,NR/2025/31421/A/98733,NR/2025/33670/A/98533,NR/2025/31045/A/98660,NR/2025/33993/C,NR/2025/32556/A/98703,NR/2025/33982/C,NR/2025/33995/C,NR/2025/32397/A/98181,NR/2025/29440/A/98248,NR/2025/33983/C,NR/2025/33997/C,NR/2025/33984/C,NR/2025/32262/A/98258,NR/2025/31049/A/98663,NR/2025/31048/A/98661,NR/2025/32559/A/98702,NR/2025/32004/A/98706,NR/2025/32455/A/98747,NR/2025/33656/A/98651,NR/2025/32375/A/98730,NR/2025/31043/A/98658,NR/2025/32610/A/98701,GNA/NR/2025/08/01/5784,NR/2025/29992/A/98346,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,Total
,,MANIKARAN,BAWANA_GAS,DELHI,MES_Delhi,PTC,PowerPulse,IEXL,OIDLWM3_AEROCITY,BRPL,DIAPL,PowerPulse,PowerPulse,OIDLWM2_AEROCITY,GMRETL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,GMRETL,OIDLWM2_AEROCITY,GMRETL,SECI_Trader,OIDLWM3_AEROCITY,APPCPL,NVVNL,PTC,PowerPulse,NVVNL,APPCPL,APPCPL,NVVNL,IEXL,ITCLH,APPCPL,NVVNL,APPCPL,TPTCL,PowerPulse,PowerPulse,APPCPL,APPCPL,MANIKARAN,PowerPulse,NVVNL,PowerPulse,APPCPL,PowerPulse,BYPL,PUNJAB,NDMC,MANIKARAN,MANIKARAN,APPCPL,MANIKARAN,NDMC,NVVNL,APPCPL,NDMC,
,,NA,DELHI_UT,HIMACHAL_STATE,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,GoHP_NJPC_STATE,NA,MP_State,NA,NA,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,MP_State,NA,NA,MSEB_State,KERALA_State,DELHI_UT,NA,NA,MSEB_State,GOA_State,MP_State,NA,NA,GOA_State,NA,
,,MBMP,BAWANA_GAS,CHANJUII,NTPCREL_PSS2_KPS2_S,GoHP_NJPC,MAHAN_ENERGEN,Kurnool_Greenko_H_Inj_I,TCSPL_BKN2,TS1PL_BKN,GBHHPL,APL_Raigarh_TPP,APL_Raipur_TPP,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TESPL_BKN2,AEML,JPNIGRIE_JNSTPP,GoHP_NJPC,MAHAN_ENERGEN,JP_BINA,JPL2,RKM_POWER,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,ITCWIND,JPL2,Kameng,RKM_POWER,TPC_MSEB,APL_Raigarh_TPP,APL_Raigarh_TPP,RKM_POWER,AEML,MBMP,APL_Raipur_TPP,JP_BINA,MAHAN_ENERGEN,RKM_POWER,Vidarbha_Industry_MH,KSEB,BAWANA_GAS,TRN_ENERGY,DBPL,AEML,GOA_Beneficiary,BLAPOWER_MP,SKS_Raigarh,JHABUA_IPP,GOA_Beneficiary,JIPL,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,HARYANA,TPDDL,MES_Delhi,BRPL,TPDDL,BRPL,OIDLWM3_AEROCITY,BRPL,DIAPL,TPDDL,BRPL,OIDLWM2_AEROCITY,DTCP,ABLWM1_AEROCITY,ABLWM1_AEROCITY,MAX_HPTL,OIDLWM2_AEROCITY,BLKMH,TPDDL,OIDLWM3_AEROCITY,BYPL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,NDMC,TPDDL,MES_Delhi,ITCLH,NDMC,TPDDL,NDMC,BYPL,TPDDL,TPDDL,NDMC,BYPL,BRPL,BRPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,PUNJAB,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,
,,West-North,North-North,North-North,West-North,North-North,West-North,South-East-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,
1,00:00-00:15,48.26,0,19.22,0,14.48,0,0,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,0,0,26.32,0,0,8.69,0.57,0,193.06,0,54.3,0,96.53,26.32,106.18,48.26,164.1,48.26,96.53,26.32,96.53,29,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,1461.66

2,00:15-00:30,48.26,0,19.22,0,14.48,0,0,0,0,12.55,0,28.96,0,0,0,0,0,0,0,0,0,0,48.26,82.05,0,0,26.32,0,0,8.69,0.43,0,193.06,0,54.3,0,96.53,26.32,106.18,48.26,164.1,48.26,96.53,26.32,96.53,22.37,0,8.77,48.26,20.83,19.31,24.13,8.77,24.13,15.3,17.41,1454.8899999999999

