Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9072,NR/2024/23720/C,NR/2024/23694/A/41432,NR/2024/23382/A/41555,NR/2024/23384/A/41482,NR/30092023/31122025/SH-07,NR/2024/23383/A/41396,NR/2024/23721/C,NR/2024/23640/A/41433,NR/2024/23639/A/41434,GNA/NR/2024/10/16/2350,Total
,,APPCPL,NDMC,NDMC,DELHI,NDMC,PTC,NDMC,PUNJAB,NDMC,TPDDL,DIAPL,NVVNL,IEXL,BAWANA_GAS,ITCLH,NVVNL,SJVNL,SJVNL,PTC,
,,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,KARNATAKA_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,
,,BYPL,SKS_Raigarh,RKM_POWER,CHANJUII,TRN_ENERGY,BRPL,JPL2,BAWANA_GAS,RKM_POWER,JHAJJAR,GBHHPL,JITPL,NSLSUGAR,BAWANA_GAS,ITCWIND,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,BYPL,
,,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,
,,AEML,NDMC,NDMC,TPDDL,NDMC,HP,NDMC,PUNJAB,NDMC,TPDDL,DIAPL,NDMC,MES_Delhi,HARYANA,ITCLH,MES_Delhi,NDMC,NDMC,HP,
,,North-West,West-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,East-North,South-West-North,North-North,South-West-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,200,12.41,37.23,4.69,12.41,142.69,37.23,23.17,37.23,0,2.89,24.83,6.75,32,0.58,0,0,0,47.56,621.6700000000001

2,00:15-00:30,200,12.41,37.23,4.69,12.41,142.69,37.23,23.17,37.23,0,2.89,24.83,6.75,32,0.58,0,0,0,47.56,621.6700000000001

3,00:30-00:45,200,12.41,37.23,4.69,12.41,142.69,37.23,23.17,37.23,0,2.89,24.83,6.75,32,0.58,0,0,0,47.56,621.6700000000001

4,00:45-01:00,200,12.41,37.23,4.69,12.41,142.69,37.23,23.17,37.23,0,2.89,24.83,6.75,32,0.58,0,0,0,47.56,621.6700000000001

5,01:00-01:15,200,12.41,37.23,4.69,12.41,142.69,37.23,2.78,37.23,0,2.89,24.83,6.75,2.78,0.53,0,0,0,47.56,572.01

6,01:15-01:30,200,12.41,37.23,4.69,12.41,142.69,37.23,2.78,37.23,0,2.89,24.83,6.75,2.78,0.53,0,0,0,47.56,572.01

7,01:30-01:45,200,12.41,37.23,4.69,12.41,142.69,37.23,2.78,37.23,0,2.89,24.83,6.75,2.78,0.53,0,0,0,47.56,572.01

8,01:45-02:00,200,12.41,37.23,4.69,12.41,142.69,37.23,2.78,37.23,0,2.89,24.83,6.75,2.78,0.53,0,0,0,47.56,572.01

9,02:00-02:15,0,12.41,37.23,4.69,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.48,0,0,0,47.56,420.22

10,02:15-02:30,0,12.41,37.23,4.69,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.48,0,0,0,47.56,420.22

11,02:30-02:45,0,12.41,37.23,4.69,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.48,0,0,0,47.56,420.22

12,02:45-03:00,0,12.41,37.23,4.69,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.48,0,0,0,47.56,420.22

13,03:00-03:15,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

14,03:15-03:30,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

15,03:30-03:45,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

16,03:45-04:00,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

17,04:00-04:15,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

18,04:15-04:30,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

19,04:30-04:45,0,12.41,37.23,4.6,12.41,142.69,37.23,26.91,37.23,0,2.89,24.83,6.75,26.91,0.43,0,0,0,47.56,420.08000000000004

