Column1,Block,GNA/NR/2024/11/01/9061,NR/2024/23963/A/43839,GNA/NR/2024/11/01/3646,NR/2024/23420/A/43826,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5474,NR/2024/23769/A/43832,GNA/NR/2024/11/01/5428,NR/2024/23809/A/43831,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5444,WR/2024/24788/A/43947,NR/2024/24050/C,NR/2024/24049/C,NR/2024/23918/A/43830,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,Total
,,NDMC,DIAPL,PTC,ITCLH,PUNJAB,PTC,IEXL,NDMC,IEXL,DELHI,BAWANA_GAS,NDMC,APPCPL,SJVNL,SJVNL,IEXL,NDMC,MANIKARAN,APPCPL,NDMC,NDMC,
,,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,NA,KARNATAKA_STATE,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,
,,JPL2,GBHHPL,BYPL,ITCWIND,BAWANA_GAS,BRPL,NSLSUGAR,RKM_POWER,NSLSTUNGBHDRA,CHANJUII,BAWANA_GAS,RKM_POWER,BRPL,RSRPL_BKN,TPSL_BKN2,TESPL_BKN2,TRN_ENERGY,BRPL,BYPL,JITPL,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,
,,NDMC,DIAPL,HP,ITCLH,PUNJAB,HP,MES_Delhi,NDMC,MES_Delhi,TPDDL,HARYANA,NDMC,GOA_Beneficiary,NDMC,NDMC,MES_Delhi,NDMC,AEML,AEML,NDMC,NDMC,
,,West-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,North-West,North-North,North-North,North-North,West-North,North-West,North-West,East-North,West-North,
1,00:00-00:15,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

2,00:15-00:30,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

3,00:30-00:45,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

4,00:45-01:00,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

5,01:00-01:15,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

6,01:15-01:30,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

7,01:30-01:45,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

8,01:45-02:00,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

9,02:00-02:15,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

10,02:15-02:30,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

11,02:30-02:45,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

12,02:45-03:00,25.93,0,47.56,0.48,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,316.03000000000003

13,03:00-03:15,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

14,03:15-03:30,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

15,03:30-03:45,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

16,03:45-04:00,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

17,04:00-04:15,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

18,04:15-04:30,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

19,04:30-04:45,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

20,04:45-05:00,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

21,05:00-05:15,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

22,05:15-05:30,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

23,05:30-05:45,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

24,05:45-06:00,25.93,0,47.56,0.43,0,142.69,5.76,25.93,4.8,2.38,0,25.93,0,0,0,0,8.64,0,0,17.29,8.64,315.98

