Column1,Block,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/02/1250,NR/2025/25088/C,GNA/NR/2025/01/01/8738,NR/2024/24566/A/51515,NR/2024/24418/A/51417,NR/2025/25090/C,NR/2024/24507/A/51674,NR/2025/25089/C,GNA/WR/2025/01/01/8625,NR/2024/24508/A/51676,NER/2024/2820/A/51665,NR/2024/24614/A/51677,NR/2024/24435/A/51436,SR/2024/15456/A/51437,WR/2024/25501/A/51673,NR/2025/24839/A/51510,GNA/NR/2025/01/20/9046,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/8058,NR/2024/24434/A/51438,NR/2025/24838/A/51508,NR/2025/24837/A/51503,NR/2025/25094/C,NR/2025/25095/C,Total
,,PXIL,NDMC,DELHI,HPXL,HPXL,IEXL,HPXL,HPXL,NDMC,PUNJAB,BAWANA_GAS,HPXL,NDMC,PXIL,NDMC,IEXL,TPDDL,IEXL,IEXL,ITCLH,NVVNL,NVVNL,NVVNL,TPTCL,NVVNL,APPCPL,NVVNL,IEXL,IEXL,APPCPL,OIDLWM3_AEROCITY,HPXL,MANIKARAN,APPCPL,HPXL,IEXL,IEXL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,SJVNL,
,,NA,NA,HIMACHAL_STATE,TAMILNADU_State,MSEB_State,ODISHA_STATE,NA,Meghalaya_State,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,MP_State,TELANGANA_State,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,TELANGANA_State,NA,NA,NA,NA,NA,NA,
,,SINGOLI,SKS_Raigarh,CHANJUII,GAYATRIGREENTN,GRETAENERGY,NBVLIPP,JPNIGRIE_JNSTPP,Meghalaya_Ben,RKM_POWER,BAWANA_GAS,BAWANA_GAS,SKS_Raigarh,JPL2,JPNIGRIE_JNSTPP,RKM_POWER,SKS_Raigarh,JHAJJAR,JP_BINA,NSLKSLWPRTY,ITCWIND,TRN_ENERGY,JIPL,JIPL,BYPL,TRN_ENERGY,BYPL,TRN_ENERGY,NSLSUGARALAND,BYPL,BRPL,TCSPL_BKN2,SIMHAPURI,BRPL,BYPL,ZUARICEMCPP,JPNIGRIE_JNSTPP,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,TAMILNADU_State,GOA_State,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,PUNJAB,HARYANA,BRPL,NDMC,BRPL,NDMC,BRPL,TPDDL,BRPL,MES_Delhi,ITCLH,NDMC,NDMC,NDMC,TPC_MSEB,NDMC,Manipur_Ben,NDMC,MES_Delhi,TANGEDCO,GOA_Beneficiary,OIDLWM3_AEROCITY,BRPL,AEML,AEML,BRPL,BRPL,MES_Delhi,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,
,,North-North,West-North,North-North,South-East-North,West-North,East-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,South-West-North,West-North,East-North,East-North,North-West,West-North,North-East-North East,West-North,South-West-North,North-West-South,North-West,North-North,South-East-North,North-West,North-West,South-East-North,West-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,8.65,1.29,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,48.08,0,31.73,5.77,0.38,0,17.31,0,0,8.74,0,0,9.62,0,0,0,0,0,0,0,26.92,0,0,0,0,0,403.82000000000005

2,00:15-00:30,0,8.65,1.29,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,48.08,0,31.73,5.77,0.38,0,17.31,0,0,8.74,0,0,9.62,0,0,0,0,0,0,0,26.92,0,0,0,0,0,403.82000000000005

3,00:30-00:45,0,8.65,1.29,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,48.08,0,31.73,5.77,0.38,0,17.31,0,0,8.74,0,0,9.62,0,0,0,0,0,0,0,26.92,0,0,0,0,0,403.82000000000005

